Gene	PfamDomains	LengthPfamDomain	GeneLength	PfamDomLen	PfamLengthRatio	geneType	geneClusterType
YER002W	1	218	696	0.00143678	0.313218	singletons	Singletons_in_ComplementCluster
YER003C	1	387	1383	0.000723066	0.279826	singletons	Singletons_in_ComplementCluster
YER004W	1	116	696	0.00143678	0.166667	singletons	Singletons_in_ComplementCluster
YER005W	1	480	1893	0.000528262	0.253566	SSD	SSD_in_SSDCluster
YER006W	2	200	1563	0.00127959	0.127959	SSD	SSD_in_SSDCluster
YER007C-A	2	165	649	0.00308166	0.254237	singletons	Singletons_in_ComplementCluster
YER007W	3	101	1557	0.00192678	0.0648683	singletons	Singletons_in_ComplementCluster
YER008C	2	762	4011	0.000498629	0.189978	singletons	Singletons_in_ComplementCluster
YER009W	1	113	378	0.0026455	0.298942	singletons	Singletons_in_ComplementCluster
YER010C	1	172	705	0.00141844	0.243972	singletons	Singletons_in_ComplementCluster
YER011W	2	119	765	0.00261438	0.155556	SSD	SSD_in_SSDCluster
YER012W	1	182	597	0.00167504	0.304858	singletons	Singletons_in_SSDCluster
YER013W	4	412	3438	0.00116347	0.119837	SSD	SSD_in_SSDCluster
YER014W	1	75	1620	0.000617284	0.0462963	singletons	Singletons_in_SSDCluster
YER015W	1	495	2235	0.000447427	0.221477	singletons	Singletons_in_SSDCluster
YER016W	1	61	1035	0.000966184	0.0589372	singletons	Singletons_in_SSDCluster
YER017C	4	455	2286	0.00174978	0.199038	SSD	SSD_in_SSDCluster
YER019C-A	1	40	267	0.00374532	0.149813	SSD	SSD_in_SSDCluster
YER019W	1	292	1434	0.00069735	0.203626	singletons	Singletons_in_SSDCluster
YER020W	1	337	1350	0.000740741	0.24963	SSD	SSD_in_SSDCluster
YER021W	2	173	1572	0.00127226	0.110051	singletons	Singletons_in_SSDCluster
YER022W	1	558	2064	0.000484496	0.270349	singletons	Singletons_in_SSDCluster
YER023W	2	217	861	0.00232288	0.252033	singletons	Singletons_in_SSDCluster
YER024W	1	710	2772	0.00036075	0.256133	SSD	SSD_in_SSDCluster
YER025W	3	378	1584	0.00189394	0.238636	singletons	Singletons_in_ComplementCluster
YER026C	1	71	831	0.00120337	0.0854392	singletons	Singletons_in_ComplementCluster
YER027C	2	159	1254	0.0015949	0.126794	WGD	WGD_in_WGDCluster
YER028C	1	24	1185	0.000843882	0.0202532	WGD	WGD_in_WGDCluster
YER029C	1	87	591	0.00169205	0.147208	singletons	Singletons_in_WGDCluster
YER030W	1	33	462	0.0021645	0.0714286	singletons	Singletons_in_WGDCluster
YER031C	1	161	672	0.0014881	0.239583	WGD	WGD_in_WGDCluster
YER034W	1	178	558	0.00179211	0.318996	singletons	Singletons_in_WGDCluster
YER036C	3	377	1833	0.00163666	0.205674	SSD	SSD_in_WGDCluster
YER037W	1	193	966	0.0010352	0.199793	WGD	WGD_in_WGDCluster
YER038C	1	459	1395	0.000716846	0.329032	singletons	Singletons_in_WGDCluster
YER039C	1	142	750	0.00133333	0.189333	WGD	WGD_in_WGDCluster
YER040W	1	34	2193	0.000455996	0.0155039	SSD	SSD_in_SSDCluster
YER041W	1	107	2280	0.000438596	0.0469298	singletons	Singletons_in_ComplementCluster
YER042W	1	158	555	0.0018018	0.284685	singletons	Singletons_in_ComplementCluster
YER043C	2	302	1350	0.00148148	0.223704	singletons	Singletons_in_ComplementCluster
YER044C	1	109	447	0.00223714	0.243848	singletons	Singletons_in_ComplementCluster
YER044C-A	1	404	1315	0.000760456	0.307224	singletons	Singletons_in_ComplementCluster
YER045C	1	63	1470	0.000680272	0.0428571	WGD	WGD_in_WGDCluster
YER047C	3	249	2694	0.00111359	0.0924276	SSD	SSD_in_SSDCluster
YER048C	2	262	1176	0.00170068	0.222789	SSD	SSD_in_SSDCluster
YER048W-A	1	58	285	0.00350877	0.203509	singletons	Singletons_in_ComplementCluster
YER049W	2	406	1935	0.00103359	0.209819	singletons	Singletons_in_ComplementCluster
YER050C	1	51	417	0.00239808	0.122302	singletons	Singletons_in_ComplementCluster
YER052C	2	363	1584	0.00126263	0.229167	singletons	Singletons_in_ComplementCluster
YER053C	3	267	903	0.00332226	0.295681	SSD	SSD_in_SSDCluster
YER054C	1	113	1647	0.000607165	0.0686096	WGD	WGD_in_WGDCluster
YER055C	2	232	894	0.00223714	0.259508	singletons	Singletons_in_WGDCluster
YER056C	1	418	1602	0.00062422	0.260924	SSD	SSD_in_WGDCluster
YER056C-A	1	93	763	0.00131062	0.121887	singletons	Singletons_in_WGDCluster
YER057C	1	117	390	0.0025641	0.3	WGD	WGD_in_WGDCluster
YER058W	1	84	324	0.00308642	0.259259	singletons	Singletons_in_WGDCluster
YER059W	2	181	1263	0.00158353	0.14331	WGD	WGD_in_WGDCluster
YER060W	1	416	1587	0.00063012	0.26213	singletons	Singletons_in_WGDCluster
YER060W-A	1	418	1593	0.000627746	0.262398	SSD	SSD_in_WGDCluster
YER061C	2	381	1329	0.00150489	0.286682	singletons	Singletons_in_WGDCluster
YER062C	1	182	753	0.00132802	0.2417	WGD	WGD_in_WGDCluster
YER063W	2	71	657	0.00304414	0.108067	singletons	Singletons_in_WGDCluster
YER064C	1	90	1518	0.000658762	0.0592885	WGD	WGD_in_WGDCluster
YER065C	1	528	1674	0.000597372	0.315412	SSD	SSD_in_WGDCluster
YER066W	2	73	558	0.00358423	0.130824	SSD	SSD_in_WGDCluster
YER067W	1	152	486	0.00205761	0.312757	WGD	WGD_in_WGDCluster
YER068W	1	49	1764	0.000566893	0.0277778	singletons	Singletons_in_WGDCluster
YER069W	4	673	2592	0.00154321	0.259645	singletons	Singletons_in_WGDCluster
YER070W	3	686	2667	0.00112486	0.257218	WGD	WGD_in_WGDCluster
YER071C	1	103	381	0.00262467	0.270341	singletons	Singletons_in_ComplementCluster
YER072W	1	62	390	0.0025641	0.158974	singletons	Singletons_in_ComplementCluster
YER073W	1	459	1563	0.000639795	0.293666	SSD	SSD_in_SSDCluster
YER074W	1	78	874	0.00114416	0.0892449	singletons	Singletons_in_SSDCluster
YER074W-A	1	79	471	0.00212314	0.167728	singletons	Singletons_in_SSDCluster
YER075C	3	473	2787	0.00107643	0.169717	SSD	SSD_in_SSDCluster
YER077C	1	50	2067	0.000483793	0.0241896	singletons	Singletons_in_SSDCluster
YER078C	2	345	1536	0.00130208	0.224609	SSD	SSD_in_SSDCluster
YER080W	1	304	1884	0.000530786	0.161359	singletons	Singletons_in_ComplementCluster
YER081W	2	505	1410	0.00141844	0.358156	WGD	WGD_in_WGDCluster
YER082C	1	78	1665	0.000600601	0.0468468	singletons	Singletons_in_WGDCluster
YER083C	1	280	858	0.0011655	0.32634	singletons	Singletons_in_WGDCluster
YER086W	3	482	1731	0.0017331	0.278452	SSD	SSD_in_WGDCluster
YER087C-B	1	40	249	0.00401606	0.160643	SSD	SSD_in_WGDCluster
YER087W	1	329	1731	0.000577701	0.190064	singletons	Singletons_in_WGDCluster
YER088C	1	45	2013	0.000496771	0.0223547	WGD	WGD_in_WGDCluster
YER089C	1	257	1395	0.000716846	0.184229	WGD	WGD_in_WGDCluster
YER090W	2	392	1524	0.00131234	0.257218	singletons	Singletons_in_ComplementCluster
YER091C	2	643	2304	0.000868056	0.27908	singletons	Singletons_in_ComplementCluster
YER092W	1	113	378	0.0026455	0.298942	singletons	Singletons_in_ComplementCluster
YER093C	4	625	4293	0.000931749	0.145586	singletons	Singletons_in_ComplementCluster
YER094C	1	183	618	0.00161812	0.296117	SSD	SSD_in_WGDCluster
YER095W	2	307	1203	0.00166251	0.255195	SSD	SSD_in_WGDCluster
YER096W	4	142	1539	0.00259909	0.0922677	WGD	WGD_in_WGDCluster
YER098W	1	530	2265	0.000441501	0.233996	WGD	WGD_in_WGDCluster
YER099C	2	231	957	0.00208986	0.241379	WGD	WGD_in_WGDCluster
YER100W	1	137	753	0.00132802	0.181939	singletons	Singletons_in_WGDCluster
YER101C	2	217	1293	0.00154679	0.167827	WGD	WGD_in_WGDCluster
YER102W	1	183	603	0.00165837	0.303483	WGD	WGD_in_WGDCluster
YER103W	1	606	1929	0.000518403	0.314152	WGD	WGD_in_WGDCluster
YER105C	2	1022	4176	0.000478927	0.244732	WGD	WGD_in_WGDCluster
YER106W	1	256	909	0.00110011	0.281628	singletons	Singletons_in_ComplementCluster
YER107C	4	160	1098	0.00364299	0.145719	SSD	SSD_in_SSDCluster
YER110C	1	67	3342	0.000299222	0.0200479	SSD	SSD_in_SSDCluster
YER111C	1	91	3282	0.000304692	0.027727	SSD	SSD_in_SSDCluster
YER112W	1	76	564	0.00177305	0.134752	singletons	Singletons_in_ComplementCluster
YER113C	1	585	2121	0.000471476	0.275813	singletons	Singletons_in_ComplementCluster
YER114C	3	232	3123	0.000960615	0.0742875	WGD	WGD_in_WGDCluster
YER116C	1	43	825	0.00121212	0.0521212	singletons	Singletons_in_WGDCluster
YER117W	1	120	885	0.00112994	0.135593	WGD	WGD_in_WGDCluster
YER118C	1	47	1104	0.000905797	0.0425725	singletons	Singletons_in_WGDCluster
YER119C	1	438	1347	0.00074239	0.325167	WGD	WGD_in_WGDCluster
YER120W	1	107	735	0.00136054	0.145578	WGD	WGD_in_WGDCluster
YER122C	1	117	1482	0.000674764	0.0789474	singletons	Singletons_in_ComplementCluster
YER123W	1	281	1575	0.000634921	0.178413	singletons	Singletons_in_ComplementCluster
YER125W	5	496	2430	0.00205761	0.204115	SSD	SSD_in_SSDCluster
YER126C	1	251	786	0.00127226	0.319338	singletons	Singletons_in_ComplementCluster
YER127W	1	100	1074	0.000931099	0.0931099	singletons	Singletons_in_ComplementCluster
YER128W	1	200	612	0.00163399	0.326797	singletons	Singletons_in_ComplementCluster
YER129W	1	315	3429	0.00029163	0.0918635	WGD	WGD_in_WGDCluster
YER130C	2	45	1332	0.0015015	0.0337838	singletons	Singletons_in_WGDCluster
YER131W	1	107	360	0.00277778	0.297222	WGD	WGD_in_WGDCluster
YER132C	1	57	5262	0.000190042	0.0108324	WGD	WGD_in_WGDCluster
YER133W	2	242	1464	0.00136612	0.165301	singletons	Singletons_in_ComplementCluster
YER134C	1	173	537	0.0018622	0.32216	singletons	Singletons_in_ComplementCluster
YER136W	1	446	1356	0.000737463	0.328909	SSD	SSD_in_SSDCluster
YER137C	1	22	447	0.00223714	0.049217	singletons	Singletons_in_ComplementCluster
YER137C-A	1	97	1323	0.000755858	0.0733182	singletons	Singletons_in_ComplementCluster
YER138C	3	432	5269	0.000569368	0.081989	singletons	Singletons_in_ComplementCluster
YER139C	1	75	681	0.00146843	0.110132	WGD	WGD_in_WGDCluster
YER140W	1	314	1671	0.000598444	0.187911	singletons	Singletons_in_WGDCluster
YER141W	1	356	1461	0.000684463	0.243669	singletons	Singletons_in_WGDCluster
YER142C	1	151	891	0.00112233	0.169473	singletons	Singletons_in_WGDCluster
YER143W	2	158	1287	0.001554	0.122766	singletons	Singletons_in_WGDCluster
YER144C	2	484	2418	0.00082713	0.200165	WGD	WGD_in_WGDCluster
YER145C	1	314	1215	0.000823045	0.258436	SSD	SSD_in_WGDCluster
YER146W	1	73	282	0.0035461	0.258865	singletons	Singletons_in_WGDCluster
YER147C	1	617	1875	0.000533333	0.329067	singletons	Singletons_in_WGDCluster
YER148W	2	165	723	0.00276625	0.228216	singletons	Singletons_in_WGDCluster
YER151C	1	448	2739	0.000365097	0.163563	singletons	Singletons_in_ComplementCluster
YER152C	1	390	1332	0.000750751	0.292793	singletons	Singletons_in_ComplementCluster
YER153C	1	244	765	0.00130719	0.318954	singletons	Singletons_in_ComplementCluster
YER154W	1	190	1209	0.00082713	0.157155	singletons	Singletons_in_ComplementCluster
YER155C	4	589	6504	0.000615006	0.0905597	SSD	SSD_in_SSDCluster
YER156C	1	321	1017	0.000983284	0.315634	singletons	Singletons_in_ComplementCluster
YER157W	1	149	2406	0.000415628	0.0619285	singletons	Singletons_in_ComplementCluster
YER159C	1	64	429	0.002331	0.149184	singletons	Singletons_in_ComplementCluster
YER159C-A	1	97	1323	0.000755858	0.0733182	singletons	Singletons_in_ComplementCluster
YER160C	3	431	5269	0.000569368	0.0817992	singletons	Singletons_in_ComplementCluster
YER161C	1	114	1002	0.000998004	0.113772	singletons	Singletons_in_ComplementCluster
YER162C	3	272	2265	0.0013245	0.120088	SSD	SSD_in_SSDCluster
YER163C	1	223	699	0.00143062	0.319027	singletons	Singletons_in_ComplementCluster
YER164W	6	743	4407	0.00136147	0.168595	singletons	Singletons_in_ComplementCluster
YER165W	5	346	1734	0.00288351	0.199539	singletons	Singletons_in_ComplementCluster
YER166W	3	428	4716	0.000636132	0.0907549	WGD	WGD_in_WGDCluster
YER168C	2	204	1641	0.00121877	0.124314	singletons	Singletons_in_WGDCluster
YER169W	3	170	2391	0.00125471	0.0711	WGD	WGD_in_WGDCluster
YER170W	2	225	678	0.00294985	0.331858	SSD	SSD_in_SSDCluster
YER171W	3	505	2337	0.0012837	0.216089	SSD	SSD_in_SSDCluster
YER172C	6	1241	6492	0.000924214	0.191158	SSD	SSD_in_SSDCluster
YER173W	1	179	1980	0.000505051	0.090404	singletons	Singletons_in_SSDCluster
YER174C	2	167	735	0.00272109	0.227211	WGD	WGD_in_SSDCluster
YER175C	1	139	900	0.00111111	0.154444	SSD	SSD_in_SSDCluster
YER176W	3	450	3366	0.000891266	0.13369	SSD	SSD_in_SSDCluster
YER177W	1	223	804	0.00124378	0.277363	WGD	WGD_in_WGDCluster
YER178W	1	296	1263	0.000791766	0.234363	singletons	Singletons_in_ComplementCluster
YER179W	2	306	1097	0.00182315	0.278943	singletons	Singletons_in_ComplementCluster
YER180C-A	1	73	258	0.00387597	0.282946	singletons	Singletons_in_ComplementCluster
YER183C	1	199	636	0.00157233	0.312893	singletons	Singletons_in_ComplementCluster
YER184C	2	351	2385	0.000838574	0.14717	singletons	Singletons_in_ComplementCluster
YER185W	1	210	912	0.00109649	0.230263	SSD	SSD_in_SSDCluster
YER187W	1	135	426	0.00234742	0.316901	singletons	Singletons_in_ComplementCluster
YER188C-A	1	83	300	0.00333333	0.276667	singletons	Singletons_in_ComplementCluster
YER189W	1	87	369	0.00271003	0.235772	SSD	SSD_in_SSDCluster
YER190W	2	282	5046	0.000396354	0.0558859	SSD	SSD_in_SSDCluster
YFL001W	1	107	1329	0.000752445	0.0805117	singletons	Singletons_in_ComplementCluster
YFL002C	3	359	1821	0.00164745	0.197144	singletons	Singletons_in_ComplementCluster
YFL002W-A	3	430	5314	0.000564546	0.0809183	singletons	Singletons_in_ComplementCluster
YFL002W-B	1	97	1317	0.000759301	0.0736522	singletons	Singletons_in_ComplementCluster
YFL003C	4	739	2637	0.00151688	0.280243	singletons	Singletons_in_ComplementCluster
YFL004W	2	395	2487	0.000804182	0.158826	WGD	WGD_in_WGDCluster
YFL005W	1	160	648	0.00154321	0.246914	SSD	SSD_in_SSDCluster
YFL007W	3	687	6432	0.000466418	0.10681	singletons	Singletons_in_SSDCluster
YFL008W	2	1326	3678	0.000543774	0.360522	SSD	SSD_in_SSDCluster
YFL009W	7	282	2340	0.00299145	0.120513	SSD	SSD_in_SSDCluster
YFL010C	1	30	636	0.00157233	0.0471698	singletons	Singletons_in_SSDCluster
YFL011W	1	460	1641	0.000609385	0.280317	SSD	SSD_in_SSDCluster
YFL014W	1	58	330	0.0030303	0.175758	singletons	Singletons_in_SSDCluster
YFL016C	3	351	1536	0.00195312	0.228516	singletons	Singletons_in_SSDCluster
YFL017C	1	120	480	0.00208333	0.25	singletons	Singletons_in_SSDCluster
YFL017W-A	1	68	234	0.0042735	0.290598	SSD	SSD_in_SSDCluster
YFL018C	2	443	1500	0.00133333	0.295333	WGD	WGD_in_SSDCluster
YFL020C	1	93	369	0.00271003	0.252033	singletons	Singletons_in_SSDCluster
YFL021W	2	61	1533	0.00130463	0.0397913	SSD	SSD_in_SSDCluster
YFL022C	3	372	1512	0.00198413	0.246032	SSD	SSD_in_SSDCluster
YFL023W	2	197	2391	0.00083647	0.0823923	singletons	Singletons_in_ComplementCluster
YFL024C	1	143	2499	0.00040016	0.0572229	singletons	Singletons_in_ComplementCluster
YFL025C	1	238	3090	0.000323625	0.0770227	singletons	Singletons_in_ComplementCluster
YFL026W	1	280	1296	0.000771605	0.216049	singletons	Singletons_in_ComplementCluster
YFL027C	1	207	1494	0.000669344	0.138554	singletons	Singletons_in_ComplementCluster
YFL028C	1	153	870	0.00114943	0.175862	singletons	Singletons_in_ComplementCluster
YFL029C	1	350	1107	0.000903342	0.31617	singletons	Singletons_in_ComplementCluster
YFL030W	1	345	1158	0.000863558	0.297927	singletons	Singletons_in_ComplementCluster
YFL031W	1	53	969	0.00103199	0.0546956	singletons	Singletons_in_ComplementCluster
YFL033C	2	282	5313	0.000376435	0.0530774	singletons	Singletons_in_ComplementCluster
YFL034C-A	1	109	690	0.00144928	0.157971	WGD	WGD_in_WGDCluster
YFL034C-B	1	169	978	0.00102249	0.172802	SSD	SSD_in_SSDCluster
YFL034W	1	339	3222	0.000310366	0.105214	singletons	Singletons_in_ComplementCluster
YFL036W	2	812	4056	0.000493097	0.200197	singletons	Singletons_in_SSDCluster
YFL037W	2	331	1374	0.0014556	0.240902	singletons	Singletons_in_SSDCluster
YFL038C	1	161	621	0.00161031	0.259259	SSD	SSD_in_SSDCluster
YFL039C	1	373	1436	0.000696379	0.259749	SSD	SSD_in_SSDCluster
YFL040W	1	462	1623	0.000616143	0.284658	singletons	Singletons_in_SSDCluster
YFL041W	3	422	1869	0.00160514	0.225789	SSD	SSD_in_SSDCluster
YFL042C	2	259	2025	0.000987654	0.127901	WGD	WGD_in_WGDCluster
YFL044C	1	121	906	0.00110375	0.133554	singletons	Singletons_in_WGDCluster
YFL045C	1	219	765	0.00130719	0.286275	singletons	Singletons_in_WGDCluster
YFL046W	1	174	624	0.00160256	0.278846	singletons	Singletons_in_WGDCluster
YFL047W	3	290	2145	0.0013986	0.135198	singletons	Singletons_in_WGDCluster
YFL048C	1	217	1338	0.000747384	0.162182	WGD	WGD_in_WGDCluster
YFL049W	1	136	1872	0.000534188	0.0726496	SSD	SSD_in_SSDCluster
YFL050C	1	347	2577	0.000388048	0.134653	SSD	SSD_in_SSDCluster
YFL052W	1	38	1398	0.000715308	0.0271817	singletons	Singletons_in_SSDCluster
YFL053W	2	502	1776	0.00112613	0.282658	SSD	SSD_in_SSDCluster
YFL054C	1	245	1941	0.000515198	0.126224	SSD	SSD_in_SSDCluster
YFL055W	1	454	1677	0.000596303	0.270722	singletons	Singletons_in_SSDCluster
YFL056C	1	144	639	0.00156495	0.225352	singletons	Singletons_in_SSDCluster
YFL058W	1	223	1023	0.000977517	0.217986	SSD	SSD_in_SSDCluster
YFL059W	1	208	897	0.00111483	0.231884	WGD	WGD_in_SSDCluster
YFL060C	1	210	723	0.00138313	0.290456	WGD	WGD_in_SSDCluster
YFL061W	1	111	725	0.00137931	0.153103	SSD	SSD_in_SSDCluster
YFL062W	2	198	1140	0.00175439	0.173684	SSD	SSD_in_SSDCluster
YFL063W	1	83	456	0.00219298	0.182018	singletons	Singletons_in_ComplementCluster
YFL064C	1	86	525	0.00190476	0.16381	singletons	Singletons_in_ComplementCluster
YFL066C	2	270	893	0.00223964	0.302352	singletons	Singletons_in_ComplementCluster
YFR002W	1	584	2520	0.000396825	0.231746	singletons	Singletons_in_ComplementCluster
YFR003C	1	78	468	0.00213675	0.166667	singletons	Singletons_in_ComplementCluster
YFR004W	2	248	921	0.00217155	0.269273	SSD	SSD_in_SSDCluster
YFR005C	2	351	1347	0.00148478	0.260579	singletons	Singletons_in_SSDCluster
YFR006W	2	380	1608	0.00124378	0.236318	SSD	SSD_in_SSDCluster
YFR007W	1	33	1062	0.00094162	0.0310734	singletons	Singletons_in_SSDCluster
YFR009W	3	397	2259	0.00132802	0.175741	SSD	SSD_in_SSDCluster
YFR010W	1	385	1500	0.000666667	0.256667	singletons	Singletons_in_ComplementCluster
YFR011C	1	150	513	0.00194932	0.292398	singletons	Singletons_in_ComplementCluster
YFR012W	1	178	609	0.00164204	0.292282	WGD	WGD_in_WGDCluster
YFR013W	1	46	2364	0.000423012	0.0194585	WGD	WGD_in_WGDCluster
YFR014C	1	262	1341	0.000745712	0.195377	WGD	WGD_in_WGDCluster
YFR015C	1	671	2127	0.000470146	0.315468	WGD	WGD_in_WGDCluster
YFR018C	1	246	1092	0.000915751	0.225275	singletons	Singletons_in_ComplementCluster
YFR019W	3	461	6837	0.000438789	0.0674272	singletons	Singletons_in_ComplementCluster
YFR021W	2	79	1503	0.00133067	0.0525615	SSD	SSD_in_SSDCluster
YFR022W	2	341	2202	0.000908265	0.154859	WGD	WGD_in_WGDCluster
YFR023W	3	205	1836	0.00163399	0.111656	WGD	WGD_in_WGDCluster
YFR024C-A	2	173	1474	0.00135685	0.117368	singletons	Singletons_in_ComplementCluster
YFR025C	1	241	1008	0.000992063	0.239087	singletons	Singletons_in_ComplementCluster
YFR027W	2	104	846	0.00236407	0.122931	singletons	Singletons_in_ComplementCluster
YFR028C	2	276	1656	0.00120773	0.166667	singletons	Singletons_in_ComplementCluster
YFR030W	2	321	3108	0.000643501	0.103282	SSD	SSD_in_SSDCluster
YFR031C	3	1280	3513	0.000853971	0.364361	SSD	SSD_in_SSDCluster
YFR031C-A	2	215	912	0.00219298	0.235746	WGD	WGD_in_SSDCluster
YFR032C	1	78	870	0.00114943	0.0896552	singletons	Singletons_in_SSDCluster
YFR032C-A	1	39	180	0.00555556	0.216667	singletons	Singletons_in_SSDCluster
YFR033C	1	71	444	0.00225225	0.15991	singletons	Singletons_in_SSDCluster
YFR034C	1	56	939	0.00106496	0.0596379	singletons	Singletons_in_SSDCluster
YFR036W	1	85	375	0.00266667	0.226667	singletons	Singletons_in_SSDCluster
YFR037C	4	256	1674	0.00238949	0.152927	SSD	SSD_in_SSDCluster
YFR038W	2	505	2562	0.00078064	0.197112	singletons	Singletons_in_ComplementCluster
YFR040W	1	513	3009	0.000332336	0.170489	WGD	WGD_in_WGDCluster
YFR041C	1	61	888	0.00112613	0.0686937	singletons	Singletons_in_ComplementCluster
YFR044C	2	537	1446	0.00138313	0.371369	SSD	SSD_in_SSDCluster
YFR045W	3	295	1002	0.00299401	0.294411	singletons	Singletons_in_SSDCluster
YFR047C	2	259	888	0.00225225	0.291667	singletons	Singletons_in_SSDCluster
YFR048W	1	178	1989	0.000502765	0.0894922	SSD	SSD_in_SSDCluster
YFR049W	1	108	372	0.00268817	0.290323	singletons	Singletons_in_ComplementCluster
YFR050C	1	195	801	0.00124844	0.243446	singletons	Singletons_in_ComplementCluster
YFR051C	1	154	1641	0.000609385	0.0938452	singletons	Singletons_in_ComplementCluster
YFR052W	1	146	825	0.00121212	0.17697	singletons	Singletons_in_ComplementCluster
YFR053C	2	437	1458	0.00137174	0.299726	WGD	WGD_in_WGDCluster
YFR055W	1	327	1023	0.000977517	0.319648	singletons	Singletons_in_ComplementCluster
YGL001C	1	272	1050	0.000952381	0.259048	singletons	Singletons_in_WGDCluster
YGL002W	1	192	651	0.0015361	0.294931	WGD	WGD_in_WGDCluster
YGL003C	3	165	1701	0.00176367	0.0970018	SSD	SSD_in_SSDCluster
YGL004C	2	77	1254	0.0015949	0.0614035	singletons	Singletons_in_SSDCluster
YGL006W	5	902	3522	0.00141965	0.256104	singletons	Singletons_in_SSDCluster
YGL008C	3	514	2757	0.00108814	0.186435	SSD	SSD_in_SSDCluster
YGL009C	2	584	2340	0.000854701	0.249573	SSD	SSD_in_SSDCluster
YGL010W	1	143	525	0.00190476	0.272381	singletons	Singletons_in_SSDCluster
YGL011C	2	212	759	0.00263505	0.279315	singletons	Singletons_in_SSDCluster
YGL012W	1	439	1422	0.000703235	0.30872	SSD	SSD_in_SSDCluster
YGL013C	2	382	3207	0.000623636	0.119114	WGD	WGD_in_SSDCluster
YGL014W	8	250	2667	0.00299963	0.0937383	SSD	SSD_in_SSDCluster
YGL017W	2	245	1512	0.00132275	0.162037	singletons	Singletons_in_SSDCluster
YGL018C	2	122	555	0.0036036	0.21982	singletons	Singletons_in_SSDCluster
YGL019W	1	216	837	0.00119474	0.258065	SSD	SSD_in_SSDCluster
YGL020C	1	186	708	0.00141243	0.262712	singletons	Singletons_in_SSDCluster
YGL021W	1	405	2283	0.00043802	0.177398	WGD	WGD_in_SSDCluster
YGL022W	1	460	2157	0.000463607	0.213259	singletons	Singletons_in_SSDCluster
YGL023C	1	81	1908	0.000524109	0.0424528	SSD	SSD_in_SSDCluster
YGL025C	1	394	1194	0.000837521	0.329983	singletons	Singletons_in_ComplementCluster
YGL026C	2	589	2124	0.00094162	0.277307	singletons	Singletons_in_ComplementCluster
YGL027C	2	746	2502	0.000799361	0.298161	singletons	Singletons_in_ComplementCluster
YGL029W	1	107	363	0.00275482	0.294766	singletons	Singletons_in_ComplementCluster
YGL030W	1	94	548	0.00182482	0.171533	singletons	Singletons_in_ComplementCluster
YGL031C	1	65	468	0.00213675	0.138889	WGD	WGD_in_WGDCluster
YGL032C	1	60	264	0.00378788	0.227273	singletons	Singletons_in_ComplementCluster
YGL033W	1	61	727	0.00137552	0.0839065	singletons	Singletons_in_ComplementCluster
YGL035C	1	24	1515	0.000660066	0.0158416	singletons	Singletons_in_ComplementCluster
YGL037C	1	212	651	0.0015361	0.325653	singletons	Singletons_in_ComplementCluster
YGL038C	1	92	1443	0.000693001	0.0637561	SSD	SSD_in_SSDCluster
YGL039W	1	261	1047	0.00095511	0.249284	SSD	SSD_in_SSDCluster
YGL040C	1	319	1029	0.000971817	0.31001	singletons	Singletons_in_ComplementCluster
YGL043W	3	199	930	0.00322581	0.213978	singletons	Singletons_in_ComplementCluster
YGL044C	2	109	891	0.00224467	0.122334	singletons	Singletons_in_ComplementCluster
YGL045W	2	296	1629	0.00122775	0.181707	singletons	Singletons_in_ComplementCluster
YGL047W	1	192	609	0.00164204	0.315271	singletons	Singletons_in_ComplementCluster
YGL048C	3	232	1218	0.00246305	0.190476	singletons	Singletons_in_ComplementCluster
YGL049C	2	312	2745	0.000728597	0.113661	WGD	WGD_in_WGDCluster
YGL050W	1	218	822	0.00121655	0.265207	singletons	Singletons_in_WGDCluster
YGL051W	1	131	705	0.00141844	0.185816	SSD	SSD_in_WGDCluster
YGL053W	1	132	714	0.00140056	0.184874	SSD	SSD_in_WGDCluster
YGL054C	1	121	417	0.00239808	0.290168	WGD	WGD_in_WGDCluster
YGL055W	2	303	1533	0.00130463	0.197652	singletons	Singletons_in_WGDCluster
YGL056C	2	111	1584	0.00126263	0.0700758	WGD	WGD_in_WGDCluster
YGL058W	1	137	519	0.00192678	0.263969	SSD	SSD_in_WGDCluster
YGL059W	1	165	1476	0.000677507	0.111789	SSD	SSD_in_WGDCluster
YGL060W	1	632	1926	0.000519211	0.328141	WGD	WGD_in_WGDCluster
YGL061C	1	74	744	0.00134409	0.0994624	singletons	Singletons_in_WGDCluster
YGL062W	6	968	3537	0.00169635	0.273678	WGD	WGD_in_WGDCluster
YGL063W	1	103	1113	0.000898473	0.0925427	WGD	WGD_in_WGDCluster
YGL064C	2	354	1686	0.00118624	0.209964	singletons	Singletons_in_ComplementCluster
YGL065C	2	389	1512	0.00132275	0.257275	SSD	SSD_in_SSDCluster
YGL066W	2	108	1974	0.00101317	0.0547112	singletons	Singletons_in_SSDCluster
YGL067W	2	159	1155	0.0017316	0.137662	singletons	Singletons_in_SSDCluster
YGL068W	2	116	585	0.0034188	0.198291	singletons	Singletons_in_SSDCluster
YGL070C	2	75	369	0.00542005	0.203252	singletons	Singletons_in_SSDCluster
YGL071W	1	135	2073	0.000482393	0.065123	WGD	WGD_in_SSDCluster
YGL073W	1	100	2502	0.00039968	0.039968	SSD	SSD_in_SSDCluster
YGL075C	1	376	1164	0.000859107	0.323024	singletons	Singletons_in_ComplementCluster
