chr	TSS	TTS	Gene	.	strand	geneType	geneClusterType
chrIV	1181794	1182748	YDR352W	YPQ2	+	singletons	Singletons_in_WGDCluster
chrIV	1183292	1184252	YDR353W	TRR1	+	WGD	WGD_in_WGDCluster
chrIV	1184740	1185883	YDR354W	TRP4	+	singletons	Singletons_in_WGDCluster
chrIV	1185132	1185276	YDR354C-A	YDR354C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1186060	1186363	YDR355C	YDR355C	-	singletons	Singletons_in_WGDCluster
chrIV	1186100	1188935	YDR356W	SPC110	+	singletons	Singletons_in_WGDCluster
chrIV	1189192	1189561	YDR357C	CNL1	-	singletons	Singletons_in_WGDCluster
chrIV	1190052	1191726	YDR358W	GGA1	+	WGD	WGD_in_WGDCluster
chrIV	1191929	1194878	YDR359C	EAF1	-	singletons	Singletons_in_ComplementCluster
chrIV	1194591	1194978	YDR360W	OPI7	+	singletons	Singletons_in_ComplementCluster
chrIV	1195404	1196256	YDR361C	BCP1	-	singletons	Singletons_in_ComplementCluster
chrIV	1196671	1198690	YDR362C	TFC6	-	singletons	Singletons_in_ComplementCluster
chrIV	1199175	1200546	YDR363W	ESC2	+	singletons	Singletons_in_ComplementCluster
chrIV	1202120	1202390	YDR363W-A	SEM1	+	singletons	Singletons_in_ComplementCluster
chrIV	1202835	1204203	YDR364C	CDC40	-	singletons	Singletons_in_ComplementCluster
chrIV	1204489	1206376	YDR365C	ESF1	-	singletons	Singletons_in_ComplementCluster
chrIV	1206989	1208312	YDR365W-A	YDR365W-A	+	singletons	Singletons_in_ComplementCluster
chrIV	1206989	1212258	YDR365W-B	YDR365W-B	+	singletons	Singletons_in_ComplementCluster
chrIV	1212430	1212829	YDR366C	YDR366C	-	singletons	Singletons_in_ComplementCluster
chrIV	1212840	1213607	YDR367W	KEI1	+	singletons	Singletons_in_ComplementCluster
chrIV	1213896	1214835	YDR368W	YPR1	+	WGD	WGD_in_WGDCluster
chrIV	1215008	1217573	YDR369C	XRS2	-	singletons	Singletons_in_ComplementCluster
chrIV	1217774	1219103	YDR370C	DXO1	-	singletons	Singletons_in_ComplementCluster
chrIV	1219405	1220941	YDR371W	CTS2	+	singletons	Singletons_in_ComplementCluster
chrIV	1219501	1219606	YDR371C-A	YDR371C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1221104	1222142	YDR372C	VPS74	-	singletons	Singletons_in_ComplementCluster
chrIV	1222751	1223324	YDR373W	FRQ1	+	SSD	SSD_in_SSDCluster
chrIV	1223466	1224387	YDR374C	PHO92	-	singletons	Singletons_in_ComplementCluster
chrIV	1224749	1225019	YDR374W-A	WIP1	+	singletons	Singletons_in_ComplementCluster
chrIV	1225158	1226529	YDR375C	BCS1	-	singletons	Singletons_in_ComplementCluster
chrIV	1226814	1228296	YDR376W	ARH1	+	singletons	Singletons_in_ComplementCluster
chrIV	1228603	1228909	YDR377W	ATP17	+	singletons	Singletons_in_ComplementCluster
chrIV	1229341	1229602	YDR378C	LSM6	-	singletons	Singletons_in_ComplementCluster
chrIV	1230159	1233189	YDR379W	RGA2	+	WGD	WGD_in_WGDCluster
chrIV	1233270	1233510	YDR379C-A	SDH6	-	singletons	Singletons_in_ComplementCluster
chrIV	1234210	1236118	YDR380W	ARO10	+	singletons	Singletons_in_ComplementCluster
chrIV	1236550	1237997	YDR381W	YRA1	+	singletons	Singletons_in_ComplementCluster
chrIV	1238304	1238843	YDR381C-A	YDR381C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1239484	1239817	YDR382W	RPP2B	+	SSD	SSD_in_SSDCluster
chrIV	1239952	1240669	YDR383C	NKP1	-	singletons	Singletons_in_ComplementCluster
chrIV	1241196	1242024	YDR384C	ATO3	-	singletons	Singletons_in_ComplementCluster
chrIV	1243222	1245751	YDR385W	EFT2	+	WGD	WGD_in_WGDCluster
chrIV	1246076	1247975	YDR386W	MUS81	+	singletons	Singletons_in_WGDCluster
chrIV	1248146	1249814	YDR387C	CIN10	-	singletons	Singletons_in_WGDCluster
chrIV	1250178	1251627	YDR388W	RVS167	+	singletons	Singletons_in_WGDCluster
chrIV	1252529	1254494	YDR389W	SAC7	+	WGD	WGD_in_WGDCluster
chrIV	1254929	1256840	YDR390C	UBA2	-	SSD	SSD_in_SSDCluster
chrIV	1257350	1258049	YDR391C	YDR391C	-	singletons	Singletons_in_SSDCluster
chrIV	1258688	1259702	YDR392W	SPT3	+	singletons	Singletons_in_SSDCluster
chrIV	1259893	1261264	YDR393W	SHE9	+	singletons	Singletons_in_SSDCluster
chrIV	1261673	1262960	YDR394W	RPT3	+	SSD	SSD_in_SSDCluster
chrIV	1263316	1266151	YDR395W	SXM1	+	SSD	SSD_in_SSDCluster
chrIV	1266287	1266788	YDR396W	YDR396W	+	singletons	Singletons_in_SSDCluster
chrIV	1266358	1266891	YDR397C	NCB2	-	singletons	Singletons_in_ComplementCluster
chrIV	1267463	1269395	YDR398W	UTP5	+	singletons	Singletons_in_SSDCluster
chrIV	1270060	1270726	YDR399W	HPT1	+	SSD	SSD_in_SSDCluster
chrIV	1271055	1272078	YDR400W	URH1	+	singletons	Singletons_in_SSDCluster
chrIV	1272215	1272779	YDR401W	YDR401W	+	singletons	Singletons_in_SSDCluster
chrIV	1272226	1273696	YDR402C	DIT2	-	singletons	Singletons_in_SSDCluster
chrIV	1274594	1276205	YDR403W	DIT1	+	singletons	Singletons_in_SSDCluster
chrIV	1276646	1277162	YDR404C	RPB7	-	SSD	SSD_in_SSDCluster
chrIV	1277638	1278430	YDR405W	MRP20	+	singletons	Singletons_in_ComplementCluster
chrIV	1279202	1283792	YDR406W	PDR15	+	WGD	WGD_in_WGDCluster
chrIV	1283791	1284037	YDR406W-A	YDR406W-A	+	singletons	Singletons_in_ComplementCluster
chrIV	1284061	1287931	YDR407C	TRS120	-	singletons	Singletons_in_WGDCluster
chrIV	1288207	1288852	YDR408C	ADE8	-	singletons	Singletons_in_WGDCluster
chrIV	1289398	1292113	YDR409W	SIZ1	+	WGD	WGD_in_WGDCluster
chrIV	1292364	1293084	YDR410C	STE14	-	singletons	Singletons_in_WGDCluster
chrIV	1293361	1294387	YDR411C	DFM1	-	singletons	Singletons_in_WGDCluster
chrIV	1294685	1295393	YDR412W	RRP17	+	singletons	Singletons_in_WGDCluster
chrIV	1294828	1295404	YDR413C	YDR413C	-	singletons	Singletons_in_WGDCluster
chrIV	1295590	1296679	YDR414C	ERD1	-	singletons	Singletons_in_WGDCluster
chrIV	1297029	1298154	YDR415C	YDR415C	-	SSD	SSD_in_WGDCluster
chrIV	1298424	1301004	YDR416W	SYF1	+	singletons	Singletons_in_WGDCluster
chrIV	1301547	1301919	YDR417C	YDR417C	-	singletons	Singletons_in_WGDCluster
chrIV	1301608	1302106	YDR418W	RPL12B	+	WGD	WGD_in_SSDCluster
chrIV	1303166	1305065	YDR419W	RAD30	+	singletons	Singletons_in_SSDCluster
chrIV	1306259	1311668	YDR420W	HKR1	+	SSD	SSD_in_SSDCluster
chrIV	1312032	1314885	YDR421W	ARO80	+	singletons	Singletons_in_SSDCluster
chrIV	1315318	1317766	YDR422C	SIP1	-	singletons	Singletons_in_SSDCluster
chrIV	1318038	1319268	YDR423C	CAD1	-	WGD	WGD_in_SSDCluster
chrIV	1319379	1319834	YDR424C	DYN2	-	singletons	Singletons_in_ComplementCluster
chrIV	1320056	1321934	YDR425W	SNX41	+	SSD	SSD_in_SSDCluster
chrIV	1321621	1321999	YDR426C	YDR426C	-	singletons	Singletons_in_SSDCluster
chrIV	1322197	1323379	YDR427W	RPN9	+	singletons	Singletons_in_SSDCluster
chrIV	1323446	1324232	YDR428C	BNA7	-	singletons	Singletons_in_SSDCluster
chrIV	1324469	1325294	YDR429C	TIF35	-	singletons	Singletons_in_SSDCluster
chrIV	1325493	1328463	YDR430C	CYM1	-	SSD	SSD_in_SSDCluster
chrIV	1328382	1328694	YDR431W	YDR431W	+	singletons	Singletons_in_SSDCluster
chrIV	1328775	1330020	YDR432W	NPL3	+	singletons	Singletons_in_SSDCluster
chrIV	1329592	1330033	YDR433W	YDR433W	+	singletons	Singletons_in_SSDCluster
chrIV	1331229	1332834	YDR434W	GPI17	+	singletons	Singletons_in_SSDCluster
chrIV	1332975	1333962	YDR435C	PPM1	-	SSD	SSD_in_SSDCluster
chrIV	1334813	1336946	YDR436W	PPZ2	+	WGD	WGD_in_WGDCluster
chrIV	1337344	1337767	YDR437W	GPI19	+	singletons	Singletons_in_WGDCluster
chrIV	1338266	1339379	YDR438W	THI74	+	WGD	WGD_in_WGDCluster
chrIV	1339668	1340712	YDR439W	LRS4	+	singletons	Singletons_in_WGDCluster
chrIV	1342485	1344234	YDR440W	DOT1	+	singletons	Singletons_in_WGDCluster
chrIV	1344509	1345055	YDR441C	APT2	-	WGD	WGD_in_WGDCluster
chrIV	1345639	1346032	YDR442W	YDR442W	+	singletons	Singletons_in_WGDCluster
chrIV	1345668	1349931	YDR443C	SSN2	-	singletons	Singletons_in_WGDCluster
chrIV	1350282	1352346	YDR444W	YDR444W	+	singletons	Singletons_in_WGDCluster
chrIV	1352174	1352582	YDR445C	YDR445C	-	singletons	Singletons_in_ComplementCluster
chrIV	1353717	1354626	YDR446W	ECM11	+	singletons	Singletons_in_WGDCluster
chrIV	1354821	1355546	YDR447C	RPS17B	-	singletons	Singletons_in_ComplementCluster
chrIV	1356057	1357362	YDR448W	ADA2	+	singletons	Singletons_in_WGDCluster
chrIV	1357572	1358895	YDR449C	UTP6	-	singletons	Singletons_in_WGDCluster
chrIV	1359915	1360791	YDR450W	RPS18A	+	WGD	WGD_in_WGDCluster
chrIV	1361112	1362174	YDR451C	YHP1	-	WGD	WGD_in_WGDCluster
chrIV	1362870	1364895	YDR452W	PPN1	+	singletons	Singletons_in_WGDCluster
chrIV	1365064	1365655	YDR453C	TSA2	-	WGD	WGD_in_WGDCluster
chrIV	1366256	1366820	YDR454C	GUK1	-	singletons	Singletons_in_ComplementCluster
chrIV	1367365	1367674	YDR455C	YDR455C	-	singletons	Singletons_in_ComplementCluster
chrIV	1367477	1369379	YDR456W	NHX1	+	singletons	Singletons_in_ComplementCluster
chrIV	1369782	1379589	YDR457W	TOM1	+	SSD	SSD_in_SSDCluster
chrIV	1380047	1382039	YDR458C	HEH2	-	WGD	WGD_in_SSDCluster
chrIV	1382311	1383436	YDR459C	PFA5	-	singletons	Singletons_in_WGDCluster
chrIV	1383803	1384769	YDR460W	TFB3	+	singletons	Singletons_in_WGDCluster
chrIV	1385168	1385279	YDR461W	MFA1	+	SSD	SSD_in_WGDCluster
chrIV	1385516	1385759	YDR461C-A	YDR461C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1386065	1386509	YDR462W	MRPL28	+	singletons	Singletons_in_WGDCluster
chrIV	1386808	1388368	YDR463W	STP1	+	WGD	WGD_in_WGDCluster
chrIV	1388864	1393172	YDR464W	SPP41	+	singletons	Singletons_in_ComplementCluster
chrIV	1392484	1392673	YDR464C-A	YDR464C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1393328	1394567	YDR465C	RMT2	-	singletons	Singletons_in_ComplementCluster
chrIV	1395113	1397810	YDR466W	PKH3	+	singletons	Singletons_in_ComplementCluster
chrIV	1397575	1397902	YDR467C	YDR467C	-	singletons	Singletons_in_ComplementCluster
chrIV	1398018	1398693	YDR468C	TLG1	-	singletons	Singletons_in_ComplementCluster
chrIV	1399007	1399535	YDR469W	SDC1	+	singletons	Singletons_in_ComplementCluster
chrIV	1399698	1401207	YDR470C	UGO1	-	singletons	Singletons_in_ComplementCluster
chrIV	1401762	1402557	YDR471W	RPL27B	+	WGD	WGD_in_WGDCluster
chrIV	1402911	1403035	snR13		+	singletons	Singletons_in_ComplementCluster
chrIV	1403314	1404166	YDR472W	TRS31	+	singletons	Singletons_in_WGDCluster
chrIV	1404437	1405847	YDR473C	PRP3	-	singletons	Singletons_in_WGDCluster
chrIV	1407456	1410087	YDR475C	JIP4	-	WGD	WGD_in_WGDCluster
chrIV	1410445	1411120	YDR476C	YDR476C	-	singletons	Singletons_in_WGDCluster
chrIV	1412365	1414267	YDR477W	SNF1	+	singletons	Singletons_in_WGDCluster
chrIV	1414567	1415164	YDR478W	SNM1	+	singletons	Singletons_in_WGDCluster
chrIV	1415202	1416867	YDR479C	PEX29	-	SSD	SSD_in_WGDCluster
chrIV	1417391	1418363	YDR480W	DIG2	+	WGD	WGD_in_WGDCluster
chrIV	1418542	1420243	YDR481C	PHO8	-	singletons	Singletons_in_WGDCluster
chrIV	1420423	1420831	YDR482C	CWC21	-	singletons	Singletons_in_WGDCluster
chrIV	1421149	1422478	YDR483W	KRE2	+	WGD	WGD_in_WGDCluster
chrIV	1422755	1424681	YDR484W	VPS52	+	singletons	Singletons_in_WGDCluster
chrIV	1424812	1427200	YDR485C	VPS72	-	singletons	Singletons_in_WGDCluster
chrIV	1427423	1428113	YDR486C	VPS60	-	singletons	Singletons_in_WGDCluster
chrIV	1428346	1428973	YDR487C	RIB3	-	singletons	Singletons_in_WGDCluster
chrIV	1429180	1430782	YDR488C	PAC11	-	singletons	Singletons_in_WGDCluster
chrIV	1431004	1431889	YDR489W	SLD5	+	singletons	Singletons_in_WGDCluster
chrIV	1431960	1434261	YDR490C	PKH1	-	WGD	WGD_in_WGDCluster
chrIV	1434492	1434984	YDR491C	YDR491C	-	singletons	Singletons_in_ComplementCluster
chrIV	1434916	1435867	YDR492W	IZH1	+	WGD	WGD_in_SSDCluster
chrIV	1436209	1436581	YDR493W	MZM1	+	singletons	Singletons_in_WGDCluster
chrIV	1436922	1438008	YDR494W	RSM28	+	singletons	Singletons_in_WGDCluster
chrIV	1438107	1441143	YDR495C	VPS3	-	singletons	Singletons_in_WGDCluster
chrIV	1441425	1443396	YDR496C	PUF6	-	singletons	Singletons_in_WGDCluster
chrIV	1443705	1445460	YDR497C	ITR1	-	WGD	WGD_in_WGDCluster
chrIV	1445835	1446987	YDR498C	SEC20	-	singletons	Singletons_in_WGDCluster
chrIV	1447822	1450066	YDR499W	LCD1	+	singletons	Singletons_in_WGDCluster
chrIV	1450190	1450846	YDR500C	RPL37B	-	singletons	Singletons_in_ComplementCluster
chrIV	1451345	1452911	YDR501W	PLM2	+	WGD	WGD_in_WGDCluster
chrIV	1453302	1454457	YDR502C	SAM2	-	WGD	WGD_in_WGDCluster
chrIV	1455034	1455859	YDR503C	LPP1	-	SSD	SSD_in_WGDCluster
chrIV	1456303	1456687	YDR504C	SPG3	-	singletons	Singletons_in_WGDCluster
chrIV	1456687	1459213	YDR505C	PSP1	-	WGD	WGD_in_WGDCluster
chrIV	1459720	1461547	YDR506C	GMC1	-	singletons	Singletons_in_WGDCluster
chrIV	1462350	1465779	YDR507C	GIN4	-	WGD	WGD_in_WGDCluster
chrIV	1466445	1468437	YDR508C	GNP1	-	WGD	WGD_in_WGDCluster
chrIV	1468218	1468566	YDR509W	YDR509W	+	singletons	Singletons_in_ComplementCluster
chrIV	1469392	1469698	YDR510W	SMT3	+	singletons	Singletons_in_WGDCluster
chrIV	1469687	1469804	YDR510C-A	YDR510C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1470009	1470411	YDR511W	SDH7	+	singletons	Singletons_in_WGDCluster
chrIV	1470492	1471056	YDR512C	EMI1	-	singletons	Singletons_in_WGDCluster
chrIV	1471009	1471441	YDR513W	GRX2	+	WGD	WGD_in_WGDCluster
chrIV	1471540	1472992	YDR514C	YDR514C	-	WGD	WGD_in_WGDCluster
chrIV	1473421	1474765	YDR515W	SLF1	+	WGD	WGD_in_WGDCluster
chrIV	1474966	1476469	YDR516C	EMI2	-	WGD	WGD_in_WGDCluster
chrIV	1477231	1478350	YDR517W	GRH1	+	singletons	Singletons_in_WGDCluster
chrIV	1478600	1480154	YDR518W	EUG1	+	WGD	WGD_in_WGDCluster
chrIV	1480417	1480825	YDR519W	FPR2	+	SSD	SSD_in_WGDCluster
chrIV	1481077	1483396	YDR520C	URC2	-	singletons	Singletons_in_WGDCluster
chrIV	1483133	1483469	YDR521W	YDR521W	+	singletons	Singletons_in_WGDCluster
chrIV	1483787	1485296	YDR522C	SPS2	-	WGD	WGD_in_SSDCluster
chrIV	1485558	1487031	YDR523C	SPS1	-	SSD	SSD_in_WGDCluster
chrIV	1487534	1488983	YDR524C	AGE1	-	SSD	SSD_in_WGDCluster
chrIV	1489395	1489485	YDR524W-C	YDR524W-C	+	singletons	Singletons_in_ComplementCluster
chrIV	1489590	1489791	YDR524C-B	YDR524C-B	-	singletons	Singletons_in_ComplementCluster
chrIV	1489863	1489983	YDR524C-A	YDR524C-A	-	singletons	Singletons_in_ComplementCluster
chrIV	1489897	1490227	YDR525W	API2	+	singletons	Singletons_in_ComplementCluster
chrIV	1490588	1490828	YDR525W-A	SNA2	+	singletons	Singletons_in_WGDCluster
chrIV	1491067	1491538	YDR526C	YDR526C	-	singletons	Singletons_in_WGDCluster
chrIV	1491086	1492406	YDR527W	RBA50	+	singletons	Singletons_in_WGDCluster
chrIV	1492469	1493019	snR84		-	singletons	Singletons_in_ComplementCluster
chrIV	1494578	1495850	YDR528W	HLR1	+	WGD	WGD_in_WGDCluster
chrIV	1496157	1496541	YDR529C	QCR7	-	singletons	Singletons_in_WGDCluster
chrIV	1496783	1497761	YDR530C	APA2	-	WGD	WGD_in_WGDCluster
chrIV	1498224	1499328	YDR531W	CAB1	+	singletons	Singletons_in_ComplementCluster
chrIV	1499388	1500546	YDR532C	KRE28	-	singletons	Singletons_in_ComplementCluster
chrIV	1501439	1502153	YDR533C	HSP31	-	singletons	Singletons_in_ComplementCluster
chrIV	1503305	1504892	YDR534C	FIT1	-	SSD	SSD_in_SSDCluster
chrIV	1506597	1507354	YDR535C	YDR535C	-	singletons	Singletons_in_ComplementCluster
chrIV	1507996	1509706	YDR536W	STL1	+	singletons	Singletons_in_ComplementCluster
chrIV	1510846	1511452	YDR537C	YDR537C	-	singletons	Singletons_in_ComplementCluster
chrIV	1510892	1511621	YDR538W	PAD1	+	singletons	Singletons_in_ComplementCluster
chrIV	1512084	1513596	YDR539W	FDC1	+	singletons	Singletons_in_ComplementCluster
chrIV	1517120	1517660	YDR540C	IRC4	-	singletons	Singletons_in_ComplementCluster
chrIV	1519648	1520683	YDR541C	YDR541C	-	SSD	SSD_in_SSDCluster
chrIV	1523234	1523597	YDR542W	PAU10	+	singletons	Singletons_in_ComplementCluster
chrIV	1524619	1524919	YDR543C	YDR543C	-	singletons	Singletons_in_ComplementCluster
chrIV	1525080	1525509	YDR544C	YDR544C	-	singletons	Singletons_in_ComplementCluster
chrIV	1526306	1531697	YDR545W	YRF1-1	+	singletons	Singletons_in_ComplementCluster
chrIV	1530848	1531328	YDR545C-A	YDR545C-A	-	singletons	Singletons_in_ComplementCluster
chrIX	482	6147	YIL177C	YIL177C	-	SSD	SSD_in_SSDCluster
chrIX	845	1167	YIL177W-A	YIL177W-A	+	singletons	Singletons_in_ComplementCluster
chrIX	8792	9155	YIL176C	PAU14	-	SSD	SSD_in_SSDCluster
chrIX	9182	9500	YIL175W	YIL175W	+	singletons	Singletons_in_SSDCluster
chrIX	9468	9696	YIL174W	YIL174W	+	singletons	Singletons_in_SSDCluster
chrIX	11491	16141	YIL173W	VTH1	+	SSD	SSD_in_SSDCluster
chrIX	16783	18553	YIL172C	IMA3	-	SSD	SSD_in_SSDCluster
chrIX	18259	18712	YIL171W-A	YIL171W-A	+	singletons	Singletons_in_ComplementCluster
chrIX	19514	19844	YIL171W	YIL171W	+	singletons	Singletons_in_SSDCluster
chrIX	19846	21220	YIL170W	YIL170W	+	singletons	Singletons_in_SSDCluster
chrIX	23118	26106	YIL169C	YIL169C	-	SSD	SSD_in_SSDCluster
chrIX	29031	29415	YIL168W	YIL168W	+	singletons	Singletons_in_SSDCluster
chrIX	29415	30048	YIL167W	YIL167W	+	singletons	Singletons_in_SSDCluster
chrIX	30937	32566	YIL166C	YIL166C	-	SSD	SSD_in_SSDCluster
chrIX	33717	34077	YIL165C	YIL165C	-	singletons	Singletons_in_SSDCluster
chrIX	34086	34686	YIL164C	NIT1	-	singletons	Singletons_in_SSDCluster
chrIX	36898	37252	YIL163C	YIL163C	-	singletons	Singletons_in_ComplementCluster
chrIX	37384	38983	YIL162W	SUC2	+	singletons	Singletons_in_SSDCluster
chrIX	39432	40140	YIL161W	YIL161W	+	singletons	Singletons_in_SSDCluster
chrIX	40190	41444	YIL160C	POT1	-	SSD	SSD_in_SSDCluster
chrIX	41824	45952	YIL159W	BNR1	+	SSD	SSD_in_SSDCluster
chrIX	46200	46815	YIL158W	YIL158W	+	WGD	WGD_in_SSDCluster
chrIX	46948	47542	YIL157C	COA1	-	singletons	Singletons_in_WGDCluster
chrIX	47291	47693	YIL156W-A	YIL156W-A	+	singletons	Singletons_in_ComplementCluster
chrIX	47689	47973	YIL156W-B	YIL156W-B	+	singletons	Singletons_in_ComplementCluster
chrIX	48090	51306	YIL156W	UBP7	+	WGD	WGD_in_SSDCluster
chrIX	51758	53708	YIL155C	GUT2	-	singletons	Singletons_in_WGDCluster
chrIX	53980	55021	YIL154C	YIL154C	-	singletons	Singletons_in_WGDCluster
chrIX	55197	56379	YIL153W	RRD1	+	SSD	SSD_in_WGDCluster
chrIX	56544	57252	YIL152W	YIL152W	+	singletons	Singletons_in_WGDCluster
chrIX	57337	60694	YIL151C	ESL1	-	WGD	WGD_in_WGDCluster
chrIX	61012	62728	YIL150C	MCM10	-	singletons	Singletons_in_WGDCluster
chrIX	63027	68067	YIL149C	MLP2	-	WGD	WGD_in_WGDCluster
chrIX	68707	69528	YIL148W	RPL40A	+	singletons	Singletons_in_ComplementCluster
chrIX	69790	73453	YIL147C	SLN1	-	singletons	Singletons_in_ComplementCluster
chrIX	74183	75773	YIL146C	ATG32	-	singletons	Singletons_in_ComplementCluster
chrIX	76353	77283	YIL145C	PAN6	-	singletons	Singletons_in_ComplementCluster
chrIX	78073	80149	YIL144W	YIL144W	+	singletons	Singletons_in_ComplementCluster
chrIX	80509	83041	YIL143C	SSL2	-	singletons	Singletons_in_ComplementCluster
chrIX	83207	83540	YIL142C-A	YIL142C-A	-	singletons	Singletons_in_ComplementCluster
chrIX	83301	84885	YIL142W	CCT2	+	singletons	Singletons_in_ComplementCluster
chrIX	85052	85442	YIL141W	YIL141W	+	singletons	Singletons_in_ComplementCluster
chrIX	85365	87837	YIL140W	AXL2	+	singletons	Singletons_in_ComplementCluster
chrIX	87978	88716	YIL139C	REV7	-	singletons	Singletons_in_ComplementCluster
chrIX	89229	89715	YIL138C	TPM2	-	WGD	WGD_in_WGDCluster
chrIX	89947	92788	YIL137C	TMA108	-	singletons	Singletons_in_WGDCluster
chrIX	93618	94800	YIL136W	OM45	+	singletons	Singletons_in_WGDCluster
chrIX	95064	96375	YIL135C	VHS2	-	WGD	WGD_in_WGDCluster
chrIX	96521	96725	YIL134C-A	YIL134C-A	-	singletons	Singletons_in_ComplementCluster
chrIX	97110	97246	snR68		+	singletons	Singletons_in_ComplementCluster
chrIX	97394	98330	YIL134W	FLX1	+	singletons	Singletons_in_WGDCluster
chrIX	98526	99416	YIL133C	RPL16A	-	singletons	Singletons_in_ComplementCluster
chrIX	99859	100287	YIL132C	CSM2	-	singletons	Singletons_in_WGDCluster
chrIX	100780	102235	YIL131C	FKH1	-	WGD	WGD_in_WGDCluster
chrIX	102781	105676	YIL130W	ASG1	+	SSD	SSD_in_SSDCluster
chrIX	106106	113237	YIL129C	TAO3	-	singletons	Singletons_in_ComplementCluster
chrIX	113805	116904	YIL128W	MET18	+	singletons	Singletons_in_ComplementCluster
chrIX	117023	117644	YIL127C	RRT14	-	singletons	Singletons_in_ComplementCluster
chrIX	117991	122071	YIL126W	STH1	+	SSD	SSD_in_SSDCluster
chrIX	122688	125733	YIL125W	KGD1	+	singletons	Singletons_in_SSDCluster
chrIX	126203	127097	YIL124W	AYR1	+	SSD	SSD_in_SSDCluster
chrIX	128150	129578	YIL123W	SIM1	+	WGD	WGD_in_SSDCluster
chrIX	130606	131662	YIL122W	POG1	+	singletons	Singletons_in_WGDCluster
chrIX	132240	133869	YIL121W	QDR2	+	SSD	SSD_in_WGDCluster
chrIX	134413	136105	YIL120W	QDR1	+	WGD	WGD_in_SSDCluster
chrIX	136650	137874	YIL119C	RPI1	-	singletons	Singletons_in_WGDCluster
chrIX	139748	140444	YIL118W	RHO3	+	SSD	SSD_in_WGDCluster
chrIX	140609	141566	YIL117C	PRM5	-	WGD	WGD_in_SSDCluster
chrIX	142924	144082	YIL116W	HIS5	+	singletons	Singletons_in_WGDCluster
chrIX	144264	144636	YIL115W-A	YIL115W-A	+	singletons	Singletons_in_ComplementCluster
chrIX	144323	148706	YIL115C	NUP159	-	SSD	SSD_in_WGDCluster
chrIX	149139	149985	YIL114C	POR2	-	WGD	WGD_in_WGDCluster
chrIX	150555	151185	YIL113W	SDP1	+	WGD	WGD_in_WGDCluster
chrIX	151591	154843	YIL112W	HOS4	+	singletons	Singletons_in_WGDCluster
chrIX	155218	155762	YIL111W	YIL111W	+	singletons	Singletons_in_ComplementCluster
chrIX	156041	157175	YIL110W	HPM1	+	singletons	Singletons_in_WGDCluster
chrIX	157381	160162	YIL109C	SEC24	-	WGD	WGD_in_WGDCluster
chrIX	160883	162974	YIL108W	YIL108W	+	singletons	Singletons_in_WGDCluster
chrIX	163274	165758	YIL107C	PFK26	-	SSD	SSD_in_WGDCluster
chrIX	166411	167441	YIL106W	MOB1	+	singletons	Singletons_in_ComplementCluster
chrIX	167577	169638	YIL105C	SLM1	-	WGD	WGD_in_SSDCluster
chrIX	167660	167801	YIL105W-A	YIL105W-A	+	singletons	Singletons_in_ComplementCluster
chrIX	169978	171502	YIL104C	SHQ1	-	singletons	Singletons_in_SSDCluster
chrIX	171747	173025	YIL103W	DPH1	+	SSD	SSD_in_SSDCluster
chrIX	173361	173589	YIL102C-A	YIL102C-A	-	singletons	Singletons_in_ComplementCluster
chrIX	174578	174884	YIL102C	YIL102C	-	SSD	SSD_in_SSDCluster
chrIX	175303	177247	YIL101C	XBP1	-	singletons	Singletons_in_ComplementCluster
chrIX	177339	177678	YIL100C-A	YIL100C-A	-	singletons	Singletons_in_ComplementCluster
chrIX	177369	177723	YIL100W	YIL100W	+	singletons	Singletons_in_ComplementCluster
chrIX	178000	179650	YIL099W	SGA1	+	singletons	Singletons_in_ComplementCluster
chrIX	179768	180236	YIL098C	FMC1	-	singletons	Singletons_in_ComplementCluster
chrIX	180423	181974	YIL097W	FYV10	+	singletons	Singletons_in_ComplementCluster
chrIX	182113	183124	YIL096C	BMT5	-	singletons	Singletons_in_ComplementCluster
chrIX	183933	186366	YIL095W	PRK1	+	WGD	WGD_in_WGDCluster
chrIX	186513	187629	YIL094C	LYS12	-	singletons	Singletons_in_ComplementCluster
chrIX	187986	188781	YIL093C	RSM25	-	singletons	Singletons_in_ComplementCluster
chrIX	189062	190964	YIL092W	YIL092W	+	singletons	Singletons_in_ComplementCluster
chrIX	191026	193192	YIL091C	UTP25	-	singletons	Singletons_in_ComplementCluster
chrIX	193591	195067	YIL090W	ICE2	+	singletons	Singletons_in_ComplementCluster
chrIX	195595	196213	YIL089W	YIL089W	+	SSD	SSD_in_SSDCluster
chrIX	197927	199400	YIL088C	AVT7	-	singletons	Singletons_in_ComplementCluster
chrIX	199642	200116	YIL087C	AIM19	-	singletons	Singletons_in_ComplementCluster
chrIX	200149	200458	YIL086C	YIL086C	-	singletons	Singletons_in_ComplementCluster
chrIX	200486	202040	YIL085C	KTR7	-	WGD	WGD_in_WGDCluster
chrIX	202272	203256	YIL084C	SDS3	-	singletons	Singletons_in_WGDCluster
chrIX	203552	204650	YIL083C	CAB2	-	singletons	Singletons_in_WGDCluster
