NoPair	geneNameA	chromA	startA	endA	strandA	distTelomerA	distCentromereA	distanceARSA	Nucleosome_Neigh_geneA	geneNameB	chromB	startB	endB	strandB	distTelomerB	distCentromereB	distanceARSB	Chrom_Dist	Type	nucCor_prom	nucCor_SEQ	Jaccard_tf	dist	nameA	nameB	Distance_a_b_corrected	ACS	Ranking	Nucleosome_Neigh_geneB	PairRank	PairACS	NumA	NeighbA_ACS	NeighbA_Rank	NumB	NeighbB_ACS	NeighbB_Rank
701	YDL019C	chrIV	417660	421512	-	0.272638	0.0603344	9347	0.0268766573862718	YAR042W	chrI	192612	196179	+	0.147818	0.515691	16211	DIFF	WGD	0.007221393	-0.01982438	0.1176470588	NA	OSH2	SWH1	0.2618480409	1.8	661	-0.0374250559649594	661	1.8	90	1.35777777777778	2090.01111111111	72	0.986111111111111	1796.40277777778
702	YDL021W	chrIV	413950	414886	+	0.270217	0.075032	5637	-0.00415088070521735	YOL056W	chrXV	223266	224178	+	0.204589	0.309449	53353	DIFF	WGD	-0.265542502	-0.1418457	0.2272727273	NA	GPM2	GPM3	0.4234273657	1.2	2529	0.131585780638003	2529	1.2	72	1.50833333333333	1540	110	1.23272727272727	2348.40909090909
703	YDL022W	chrIV	411822	412998	+	0.268828	0.0792199	3509	-0.019703328415147	YOL059W	chrXV	217125	218448	+	0.198962	0.326934	49905	DIFF	WGD	-0.089087081	-0.06465281	0.2608695652	NA	GPD1	GPD2	0.1143069625	1.7	785	-0.012070121848769	785	1.7	72	1.65277777777778	1014.11111111111	110	1.43272727272727	1599.57272727273
704	YDL036C	chrIV	387510	388899	-	0.252957	0.132676	19174	-0.0164523530543645	YOL066C	chrXV	202695	204471	-	0.185739	0.369586	35475	DIFF	WGD	0.244989472	0.1860353	0.12	NA	PUS9	RIB2	0.4434117853	1.6	951	0.356799180558998	951	1.6	110	1.18545454545455	1898.16363636364	110	1.52545454545455	1259.75454545455
147	YDL037C	chrIV	384598	385585	-	0.251056	0.140027	22488	-0.066980418917828	YIR019C	chrIX	389568	393672	-	0.105057	0.394804	18146	DIFF	SSD	0.1476796	0.1571425	0.125	NA	BSC1	FLO11	NA	1.4	178	0.0404271243119567	178	1.4	110	1.14363636363636	1984.87272727273	40	0.8	2390.825
705	YDL042C	chrIV	376753	378442	-	0.245935	0.155871	29631	0.20971174504961	YOL068C	chrXV	200367	201879	-	0.183606	0.377495	33147	DIFF	WGD	-0.492365964	-0.2577851	0	NA	SIR2	HST1	0.1417463066	1.3	1885	0.004731570760826	1885	1.3	110	1.29454545454545	2138.76363636364	110	1.41090909090909	1531.48181818182
706	YDL048C	chrIV	366738	368211	-	0.239398	0.178565	36925	0.0705543402044927	YLR375W	chrXII	871695	872727	+	0.190552	0.777075	15843	DIFF	WGD	-0.01970276	-0.03532646	0.0909090909	NA	STP4	STP3	0.2822197193	2.1	19	0.111945822985456	19	2.1	109	1.38807339449541	1791.97247706422	110	1.25272727272727	2061.38181818182
148	YDL049C	chrIV	365067	365874	-	0.238307	0.183749	35254	0.119606785358599	YJL174W	chrX	95089	95920	+	0.127509	0.775877	17309	DIFF	SSD	-0.3358514	-0.1544557	0.0909090909	NA	KNH1	KRE9	NA	1	4114	0.00703846448948524	4114	1	109	1.38715596330275	1842.11926605505	110	1.16545454545455	2305.16363636364
14	YDL055C	chrIV	355673	356759	-	0.232175	0.203968	25860	-0.080667798279804	YDR211W	chrIV	884724	886863	+	0.421077	0.401355	12185	SAME	SSD	-0.2427708	-0.08298354	0.1428571429	527965	PSA1	GCD6	0.634073419	1.6	992	0.284927967443056	992	1.6	108	1.31666666666667	2104.05555555556	42	1.13333333333333	2356.14285714286
149	YDL056W	chrIV	352876	355378	+	0.230349	0.207031	23063	-0.038231916883477	YER111C	chrV	382590	385872	-	0.331093	0.541543	20876	DIFF	SSD	-0.2075143	-0.1561738	0.2083333333	NA	MBP1	SWI4	0.0666715859	1.7	224	0.0219758094372751	224	1.7	109	1.42660550458716	1975.67889908257	72	1.47222222222222	1441.31944444444
707	YDL061C	chrIV	340627	340798	-	0.222353	0.239372	10814	0.0440958658957611	YLR388W	chrXII	898650	898821	+	0.16635	0.806177	9841	DIFF	WGD	0.485530381	0.3864268	0.1363636364	NA	RPS29B	RPS29A	0.5045914956	5.2	1	0.0960295844483778	1	5.2	110	1.18	2537.41818181818	90	1.26888888888889	2241.78888888889
708	YDL070W	chrIV	331024	332941	+	0.216085	0.2568	1211	0.11469767762651	YLR399C	chrXII	919535	921596	-	0.145226	0.828726	0	DIFF	WGD	0.255225175	0.2578489	0	NA	BDF2	BDF1	0.0482338626	2.3	2	-0.0767792251370919	2	2.3	90	1.11555555555556	2480.31111111111	90	1.25777777777778	2035.13333333333
709	YDL075W	chrIV	322225	322988	+	0.210341	0.278878	5255	0.10357422684541	YLR406C	chrXII	931063	931754	-	0.135804	0.841172	1	DIFF	WGD	-0.045596075	-0.1219482	0.2592592593	NA	RPL31A	RPL31B	1	3.9	101	0.0252155361008332	101	3.9	90	1.22222222222222	2453.21111111111	90	1.2	2592.82222222222
150	YDL078C	chrIV	315356	316388	-	0.205857	0.293518	0	0.0203238223255505	YKL085W	chrXI	278766	279771	+	0.418282	0.361157	49555	DIFF	SSD	-0.3476767	-0.203456	0.1818181818	NA	MDH3	MDH1	0.2914518714	2.5	57	0.030027172465954	57	2.5	90	1.79333333333333	1791.08888888889	84	1.125	2500.40476190476
710	YDL079C	chrIV	312950	314748	-	0.204286	0.297156	1640	0.0684776328393941	YMR139W	chrXIII	546123	547236	+	0.408028	0.422682	3147	DIFF	WGD	0.605931774	0.2147039	0.2	NA	MRK1	RIM11	0.707015523	1.9	157	-0.0343741200062545	157	1.9	90	1.87111111111111	1723.51111111111	88	1.22045454545455	2478.90909090909
711	YDL082W	chrIV	308423	309388	+	0.201331	0.309045	7000	0.109321635493277	YMR142C	chrXIII	550204	551206	-	0.403734	0.42891	2215	DIFF	WGD	0.013157895	-0.03950104	0.1724137931	NA	RPL13A	RPL13B	0.2239247204	5.1	4	-0.0516855368412226	4	5.1	82	1.54024390243902	2051.89024390244	90	1.24666666666667	2718.48888888889
712	YDL083C	chrIV	306925	307789	-	0.200353	0.312592	8599	0.105458803317674	YMR143W	chrXIII	551926	552902	+	0.401899	0.431538	519	DIFF	WGD	-0.206140351	-0.1859901	0.3333333333	NA	RPS16B	RPS16A	1	4.9	6	0.000173318965288857	6	4.9	83	1.44578313253012	2301.1686746988	90	1.08666666666667	3031.57777777778
713	YDL085W	chrIV	303210	304848	+	0.197928	0.319116	11540	0.110645140332739	YMR145C	chrXIII	554791	556474	-	0.398035	0.43591	462	DIFF	WGD	-0.427792632	-0.203456	0.1304347826	NA	NDE2	NDE1	0.1448901994	1.8	666	0.0926323217629433	666	1.8	83	1.3421686746988	2554.06024096386	90	1.16222222222222	2616.43333333333
714	YDL088C	chrIV	298416	300003	-	0.194799	0.329863	16385	-0.000781725744806686	YMR153W	chrXIII	564433	565861	+	0.387881	0.450624	10104	DIFF	WGD	0.266790856	0.2524917	0.2307692308	NA	ASM4	NUP53	0.0525581396	1.4	1527	0.183773147695345	1527	1.4	83	1.18795180722892	2056.33734939759	110	1.21454545454545	1860.69090909091
15	YDL095W	chrIV	287058	289512	+	0.187385	0.353134	26876	0.226872975091574	YDL093W	chrIV	289908	292140	+	0.189245	0.347304	24248	SAME	SSD	-0.009949879	0.04372123	0	396	PMT1	PMT5	NA	2.8	5	0.263140466155628	5	2.8	110	1.38909090909091	1826.35454545455	110	1.32	1975.1
715	YDL109C	chrIV	265257	267201	-	0.173153	0.402623	8625	0.0524518215771565	YGL144C	chrVII	232454	234512	-	0.213075	0.524878	469	DIFF	WGD	-0.184637236	-0.06030644	0.2666666667	NA	YDL109C	ROG1	0.3708474401	0.8	440	0.0909625725421704	440	0.8	110	1.21636363636364	2264.95454545455	107	1.05981308411215	2604.32710280374
16	YDL125C	chrIV	239018	239606	-	0.156025	0.463834	14185	-0.0248369259618493	YDR305C	chrIV	1072742	1073485	-	0.299255	0.575269	14661	SAME	SSD	-0.197583	-0.06067985	0.1538461538	833136	HNT1	HNT2	0.7526561646	1.2	2346	0.0458390624666105	2346	1.2	110	1.11272727272727	2561.80909090909	110	1.25454545454545	2156.53636363636
151	YDL128W	chrIV	232651	233887	+	0.151869	0.47652	19904	-0.011064836628295	YNL321W	chrXIV	34694	37421	+	0.0442337	0.93723	5996	DIFF	SSD	0.4157346	0.3244428	0.2666666667	NA	VCX1	VNX1	NA	1.9	144	0.271935956839153	144	1.9	110	1.25090909090909	2259.96363636364	110	1.14545454545455	2039.3
17	YDL130W	chrIV	229905	230527	+	0.150076	0.483973	17237	0.0155849182143758	YDL081C	chrIV	309801	310122	-	0.202231	0.307417	6266	SAME	SSD	0.1795197	-0.06067985	0.1111111111	79274	RPP1B	RPP1A	NA	4.4	6	0.0163569742147378	6	4.4	110	1.16	2522.59090909091	100	1.567	1824.04
152	YDL132W	chrIV	224303	226751	+	0.14642	0.492348	11635	0.00287328988058418	YGR003W	chrVII	500135	502370	+	0.458441	0.00353849	6363	DIFF	SSD	NA	-0.01767491	0.2272727273	NA	CDC53	CUL3	0.6111794531	1.4	2239	-0.0442346446719286	2239	1.4	110	1.20909090909091	2438.24545454545	102	1.32450980392157	1772.73529411765
567	YDL137W	chrIV	216528	217074	+	0.141344	0.513814	3860	0.0174647436435494	YDL192W	chrIV	116321	116867	+	0.0759316	0.73609	6751	SAME	WGD	-0.148992387	-0.1061324	0.1333333333	99661	ARF2	ARF1	0.2100749849	2.8	1	0.16418146897322	1	2.8	110	1.26909090909091	2077.33636363636	110	1.14363636363636	2495.45454545455
153	YDL143W	chrIV	199996	201583	+	0.130553	0.548175	10838	0.212743995399931	YJR064W	chrX	555905	557594	+	0.252295	0.384284	15133	DIFF	SSD	0.1476796	0.09476437	0.1666666667	NA	CCT4	CCT5	0.2612560061	2.9	2	0.0735531507268323	2	2.9	110	1.38181818181818	1823.5	110	1.38909090909091	2090.40909090909
716	YDL155W	chrIV	176773	178057	+	0.115393	0.60036	34364	-0.0405952742715874	YLR210W	chrXII	562009	563392	+	0.477458	0.442724	39549	DIFF	WGD	-0.288271921	-0.2973452	0.2608695652	NA	CLB3	CLB4	0.1428406571	2.1	13	0.124064287041522	13	2.1	90	1.15333333333333	1926.57777777778	110	1.36363636363636	1870.05454545455
717	YDL161W	chrIV	167714	169079	+	0.10948	0.620275	43342	0.0839131281407774	YLR206W	chrXII	554579	556421	+	0.483923	0.434702	41463	DIFF	WGD	-0.274430215	-0.07365429	0	NA	ENT1	ENT2	0.1335260224	1.9	122	-0.108870382538657	122	1.9	62	1.02096774193548	2627.04838709677	110	1.36727272727273	1793.96363636364
154	YDL177C	chrIV	141209	141722	-	0.0921779	0.680958	17308	0.0519503261811155	YCR059C	chrIII	223449	224226	-	0.291807	0.53675	586	DIFF	SSD	0.4427603	0.4277926	0.1818181818	NA	YDL177C	YIH1	0.4437676674	0.8	640	0.160717106069346	640	0.8	110	0.965454545454545	2711.87272727273	100	1.355	1677.88
155	YDL178W	chrIV	139522	141115	+	0.0910766	0.682304	15621	0.0937374311169289	YEL071W	chrV	16354	17845	+	0.0283496	0.869625	9125	DIFF	SSD	-0.07586929	-0.1298227	0.2727272727	NA	DLD2	DLD3	NA	1.5	1053	-0.0160247896183814	1053	1.5	110	0.985454545454545	2601.99090909091	110	0.881818181818182	2354.07272727273
568	YDL179W	chrIV	138291	139206	+	0.090273	0.686539	14390	0.110005724678995	YDL127W	chrIV	234926	235853	+	0.153354	0.472159	17938	SAME	WGD	0.021355694	0.0218687	0.0909090909	95720	PCL9	PCL2	NA	1.7	82	-0.0450346705695829	82	1.7	110	0.990909090909091	2724.01818181818	110	1.18363636363636	2422.01818181818
569	YDL181W	chrIV	135179	135437	+	0.0882416	0.694899	11278	-0.0401452216433463	YDL130W-A	chrIV	229170	229431	+	0.149597	0.486404	16502	SAME	WGD	0.099600068	-0.1425427	0.375	93733	INH1	STF1	NA	2.6	77	0.0144132176676064	77	2.6	90	0.944444444444444	2829.28888888889	110	1.16181818181818	2564.79090909091
570	YDL182W	chrIV	133437	134724	+	0.0871045	0.69648	9536	0.128238145364009	YDL131W	chrIV	227392	228715	+	0.148436	0.487992	14724	SAME	WGD	0.458333333	0.5659681	0.1923076923	92668	LYS20	LYS21	0.2324993757	4	1	0.0804137357115891	1	4	90	0.9	2997.28888888889	110	1.15818181818182	2501.35454545455
571	YDL184C	chrIV	130407	130485	-	0.0851266	0.705883	6506	0.240051689026903	YDL133C-A	chrIV	221723	221801	-	0.144735	0.503328	9055	SAME	WGD	0.300122524	0.03195914	0.2083333333	91238	RPL41A	RPL41B	NA	3.7	1	0.0485219781708342	1	3.7	90	0.88	2996.01111111111	110	1.35636363636364	2011.75454545455
572	YDL188C	chrIV	123865	124999	-	0.0808561	0.718052	0	0.147767777801161	YDL134C	chrIV	219661	220771	-	0.143389	0.505613	6993	SAME	WGD	-0.003555568	0.04347312	0.1739130435	94662	PPH22	PPH21	0.4682798532	2.9	1	0.0958373328967962	1	2.9	90	1.19777777777778	2260.2	110	1.30909090909091	2004.66363636364
573	YDL191W	chrIV	117664	118518	+	0.0768082	0.732428	5100	0.182477193008174	YDL136W	chrIV	217599	218367	+	0.142043	0.510946	4931	SAME	WGD	0.805940227	0.6085062	0.4210526316	99081	RPL35A	RPL35B	0	5.3	1	0.0635341420111854	1	5.3	110	1.03454545454545	2644.01818181818	110	1.28	2053.99090909091
574	YDL194W	chrIV	111580	114235	+	0.0728367	0.741929	9383	0.16869049770205	YDL138W	chrIV	213351	215643	+	0.13927	0.516988	683	SAME	WGD	0.077761579	0.1344296	0.35	99116	SNF3	RGT2	NA	1.7	552	0.0710485919910508	552	1.7	110	1.17272727272727	2468.20909090909	110	1.37272727272727	1805.50909090909
575	YDL204W	chrIV	94605	95787	+	0.0617559	0.78285	8429	0.0233885143159414	YDR233C	chrIV	929466	930354	-	0.392687	0.442741	7531	SAME	WGD	-0.07897812	-0.01155356	0.35	833679	RTN2	RTN1	0.3946770941	1.3	2044	-0.0311860435820351	2044	1.3	108	1.25833333333333	2213.58333333333	110	1.31272727272727	2061.21818181818
156	YDL208W	chrIV	87512	87983	+	0.0571257	0.80016	1336	-0.00489018360123819	YEL026W	chrV	101942	102323	+	0.176716	0.317856	7725	DIFF	SSD	0.3160129	-0.02618292	0.3157894737	NA	NHP2	SNU13	1	3.7	20	0.0672292601294943	20	3.7	110	1.21636363636364	2356.3	87	1.07931034482759	2487.31034482759
718	YDL211C	chrIV	79294	80413	-	0.0517612	0.816952	5533	0.0713649483955469	YNL176C	chrXIV	305071	306982	-	0.388955	0.509271	14941	DIFF	WGD	0.02480919	-0.140766	0.2173913043	NA	YDL211C	TDA7	0.2286968451	0.7	1867	-0.136522524260569	1867	0.7	110	1.22	2336.37272727273	110	0.987272727272727	2938.71818181818
719	YDL214C	chrIV	74446	76546	-	0.0485966	0.825529	9400	0.0261461072142471	YNL183C	chrXIV	293138	295511	-	0.373741	0.527482	13026	DIFF	WGD	-0.068041382	-0.06494176	0.2222222222	NA	PRR2	NPR1	0.4546718936	1.3	1370	-0.0164269855437492	1370	1.3	110	1.18	2289.07272727273	110	1.24	2096.41818181818
157	YDL216C	chrIV	68997	70320	-	0.0450396	0.83934	15626	-0.0106615416351715	YFR004W	chrVI	153387	154308	+	0.428802	0.0312062	13299	DIFF	SSD	-0.3157895	-0.1760902	0.2142857143	NA	RRI1	RPN11	0.9059567576	1.4	966	0.273267302800397	966	1.4	110	1.04545454545455	2598.95454545455	110	1.49454545454545	1858.17272727273
720	YDL222C	chrIV	60872	61802	-	0.0397358	0.858234	14601	-0.0971672668521913	YNL194C	chrXIV	272710	273616	-	0.347696	0.562243	6265	DIFF	WGD	-0.176232151	-0.1058772	0.2608695652	NA	FMP45	YNL194C	0.0010896849	1.9	488	0.00257338589337746	488	1.9	110	1.16363636363636	2438.50909090909	101	0.943564356435644	2640.66336633663
721	YDL224C	chrIV	54397	56347	-	0.0355091	0.870334	8126	-0.0946219347034703	YNL197C	chrXIV	267608	269594	-	0.341191	0.568629	10287	DIFF	WGD	-0.029160592	-0.04055059	0.24	NA	WHI4	WHI3	NA	1.9	42	0.00962680018065902	42	1.9	102	1.17549019607843	2350.59803921569	110	1.02	2653.71818181818
722	YDL226C	chrIV	51115	52174	-	0.0333666	0.879591	4844	0.290136718084101	YNL204C	chrXIV	258375	259278	-	0.32942	0.585007	7444	DIFF	WGD	0.747411907	0.6012668	0.1818181818	NA	GCS1	SPS18	0.1623052185	1.2	3545	0.084802048765281	3545	1.2	102	1.19803921568627	2350.41176470588	110	1.03454545454545	2758.23636363636
18	YDL227C	chrIV	46271	48032	-	0.0302046	0.888778	0	0.105421446543801	YDL185W	chrIV	126787	130003	+	0.0827635	0.706952	2886	SAME	SSD	0.3834726	0.2136831	0.1111111111	78755	HO	VMA1	NA	1.2	2448	0.115698292222227	2448	1.2	102	1.30882352941176	2179.83333333333	90	0.886666666666667	2950.71111111111
723	YDL229W	chrIV	44065	45907	+	0.0287646	0.893492	12	0.0360295755455005	YNL209W	chrXIV	252059	253901	+	0.321367	0.593543	1128	DIFF	WGD	0.667774086	0.7105042	0.2692307692	NA	SSB1	SSB2	0.1649319743	4.1	NA	0.0271212270866136	NA	NA	102	1.22647058823529	2300.85294117647	110	0.943636363636364	2913.88181818182
158	YDL234C	chrIV	34237	36478	-	0.0223491	0.914407	9441	-0.154541728221336	YOR070C	chrXV	455908	457822	-	0.41777	0.167901	18717	DIFF	SSD	0.07374961	0.1557293	0.0666666667	NA	GYP7	GYP1	0.3722069568	1.9	719	-0.0652775133234906	719	1.9	102	1.35	1960.55882352941	72	1.22777777777778	1941.5
724	YDL239C	chrIV	26402	28775	-	0.0172346	0.931494	10586	-0.0499312764791447	YNL225C	chrXIV	222724	224470	-	0.283966	0.640268	25846	DIFF	WGD	-0.080278784	-0.1764706	0.1904761905	NA	ADY3	CNM67	0.3869001024	2	215	0.238957194674807	215	2	90	1.13555555555556	2548.35555555556	90	1.29111111111111	1815.32222222222
159	YDL243C	chrIV	17576	18566	-	0.0114732	0.954139	1760	-0.0649916303277819	YNL331C	chrXIV	16117	17248	-	0.0205486	0.969257	11220	DIFF	SSD	0.5657596	0.5579134	0.2352941176	NA	AAD4	AAD14	NA	3.1	1	-0.017243967987252	1	3.1	72	1.16111111111111	2055.80555555556	110	1.39454545454545	1544.22727272727
160	YDL244W	chrIV	16203	17226	+	0.0105769	0.957112	387	-0.0285421104881403	YFL058W	chrVI	12928	13951	+	0.0478552	0.89262	6774	DIFF	SSD	0.4480664	0.5529061	0	NA	THI13	THI5	NA	4.4	3	0.0597859168309309	3	4.4	72	1.21388888888889	1979.55555555556	90	1.33111111111111	1005.62222222222
161	YDL245C	chrIV	11656	13360	-	0.00760876	0.965687	1927	-0.0130352980169147	YJR158W	chrX	732429	734133	+	0.0155657	0.956827	1926	DIFF	SSD	-0.07450112	-0.04443104	0	NA	HXT15	HXT16	NA	4.2	1	-0.00598471725035903	1	4.2	0	NA	NA	0	NA	NA
162	YDL246C	chrIV	8682	9756	-	0.0056674	0.973681	0	-0.0210295891537049	YJR159W	chrX	736033	737107	+	0.0115777	0.968516	0	DIFF	SSD	0.4110484	0.1578177	0	NA	SOR2	SOR1	NA	4.1	1	-0.0154020090940618	1	4.1	0	NA	NA	0	NA	NA
163	YDL248W	chrIV	1801	2953	+	0.00117565	0.988772	410	-0.0675228537601009	YJR161C	chrX	742837	743989	-	0.00234934	0.990584	410	DIFF	SSD	0.2354072	0.2833373	0	NA	COS7	COS5	NA	4.4	1	-0.0234806008543963	1	4.4	0	NA	NA	0	NA	NA
164	YDR011W	chrIV	465916	470422	+	0.304139	0.0139636	2727	0.00130137427927065	YNR070W	chrXIV	765375	769377	+	0.0190697	0.877262	73644	DIFF	SSD	0.4343755	0.3238888	0.3888888889	NA	SNQ2	PDR18	NA	1	3859	-0.00606616180081176	3859	1	90	0.94	2650.2	110	1.06727272727273	1544.3
725	YDR028C	chrIV	497832	500877	-	0.324973	0.0434854	4464	0.0201001097279722	YBR050C	chrII	337180	338197	-	0.414645	0.170527	10807	DIFF	WGD	-0.031219527	0.1272938	0.125	NA	REG1	REG2	0.5077380816	1.3	2461	-0.0327423641239541	2461	1.3	110	1.14181818181818	2747.67272727273	110	1.32909090909091	2096.9
165	YDR035W	chrIV	521813	522926	+	0.340627	0.0656675	16232	0.0284025546536451	YBR249C	chrII	716876	717989	-	0.117058	0.832186	12316	DIFF	SSD	-0.05157106	-0.06294058	0.1612903226	NA	ARO3	ARO4	0.0887948685	2.8	19	0.0129915692908539	19	2.8	66	1.38181818181818	1979.72727272727	110	1.51454545454545	1483.37272727273
19	YDR039C	chrIV	531304	534580	-	0.346823	0.0744465	20649	0.0732000646955284	YDR038C	chrIV	527419	530695	-	0.344286	0.070853	21838	SAME	SSD	0.8207677	0.78668	0	609	ENA2	ENA5	NA	3.7	2	0.120500204867163	2	3.7	90	1.30444444444444	2328.03333333333	84	1.20714285714286	2434.36904761905
20	YDR062W	chrIV	576471	578157	+	0.376306	0.116225	8731	0.225055852247741	YDR232W	chrIV	927448	929095	+	0.393509	0.440874	5513	SAME	SSD	0.06220527	0.01274532	0.2727272727	349291	LCB2	HEM1	0.1353986907	1.7	640	0.0571773202629865	640	1.7	110	1.17454545454545	2285.98181818182	110	1.27818181818182	2212.16363636364
726	YDR066C	chrIV	581906	582497	-	0.379854	0.121253	14166	-0.02129559342622	YER139C	chrV	450557	451238	-	0.217781	0.701931	7827	DIFF	WGD	0.481431175	0.4788587	0.0869565217	NA	RTR2	RTR1	0.6917716134	1.6	159	0.0708550068126028	159	1.6	110	1.17090909090909	2262.45454545455	37	1.31621621621622	2014.97297297297
727	YDR069C	chrIV	584937	587718	-	0.381833	0.124056	17197	-0.00167055681095309	YER144C	chrV	457800	460218	-	0.202214	0.719024	15070	DIFF	WGD	-0.084678425	-0.1084073	0.1481481481	NA	DOA4	UBP5	0.0655113952	1.8	508	-0.0452069916273517	508	1.8	110	1.40181818181818	1845.28181818182	80	1.2525	2123.1125
728	YDR077W	chrIV	600790	601807	+	0.392181	0.13872	26770	0.0592833632496761	YER150W	chrV	468364	468811	+	0.187318	0.743952	25634	DIFF	WGD	-0.127293769	-0.1867091	0.16	NA	SED1	SPI1	0.1630761666	2.3	84	0.0213990842347349	84	2.3	110	1.29909090909091	1850.76363636364	64	1.1359375	2046.109375
729	YDR085C	chrIV	614285	616148	-	0.400991	0.151203	12429	0.0564872731748221	YER158C	chrV	488851	490573	-	0.149594	0.792298	7844	DIFF	WGD	-0.045596075	-0.002241955	0.2916666667	NA	AFR1	YER158C	0.0169072148	1.4	1854	-0.0322036270243849	1854	1.4	110	1.26545454545455	2353.98181818182	56	1.14642857142857	2427.82142857143
730	YDR093W	chrIV	631279	636118	+	0.412084	0.166922	1361	-0.0581277901477702	YER166W	chrV	512738	517454	+	0.102996	0.848666	3313	DIFF	WGD	-0.068041382	-0.06382979	0.1764705882	NA	DNF2	DNF1	NA	2.1	5	-0.0309748074775139	5	2.1	110	0.985454545454545	2768.76363636364	98	1.31836734693878	1783.74489795918
731	YDR096W	chrIV	637136	639821	+	0.415907	0.17234	44	0.00218594622961344	YER169W	chrV	523363	525754	+	0.0886076	0.873739	2339	DIFF	WGD	-0.123091491	0.3955199	0.15	NA	GIS1	RPH1	NA	1.7	789	0.0147447461952995	789	1.7	72	1.15555555555556	2333.65277777778	80	1.44125	1210.7125
732	YDR098C	chrIV	644175	645033	-	0.420502	0.178851	4063	-0.0403551890018279	YER174C	chrV	538428	539163	-	0.0653632	0.909289	10398	DIFF	WGD	-0.140028008	0.1668425	0.1578947368	NA	GRX3	GRX4	0.1997338138	1.3	2327	-0.0144025646232567	2327	1.3	72	1.13333333333333	2499.04166666667	72	1.45555555555556	1584.68055555556
733	YDR099W	chrIV	653604	654426	+	0.426657	0.187572	13492	-0.0318986174335335	YER177W	chrV	545605	546409	+	0.0528023	0.926226	3152	DIFF	WGD	-0.116642369	-0.005565678	0.1428571429	NA	BMH2	BMH1	0.009542564	2.7	8	-0.0339341600069922	8	2.7	72	1.28888888888889	2234.125	88	1.14090909090909	2323.32954545455
734	YDR107C	chrIV	669013	671032	-	0.436716	0.201825	28901	0.279686996305451	YLR083C	chrXII	294091	296095	-	0.272767	0.153467	4623	DIFF	WGD	-0.174792138	-0.1223618	0.1818181818	NA	TMN2	EMP70	0.1845641984	1.5	247	-0.02894933317581	247	1.5	110	1.2	1861.50909090909	110	1.42727272727273	1495.01818181818
167	YDR109C	chrIV	673517	675665	-	0.439656	0.205992	27220	0.101116632907681	YNL249C	chrXIV	179394	181023	-	0.228721	0.709245	9589	DIFF	SSD	0.6829813	0.5374957	0.2592592593	NA	YDR109C	MPA43	NA	0.7	2391	0.106929821241299	2391	0.7	110	1.17454545454545	1994.99090909091	109	1.37706422018349	1636.00917431193
735	YDR111C	chrIV	678238	679762	-	0.442738	0.210358	23123	0.248070657125988	YLR089C	chrXII	318237	320016	-	0.295163	0.179536	28769	DIFF	WGD	0.213195052	0.1119937	0.0769230769	NA	ALT2	ALT1	0.3436109193	1.1	3709	0.0337556895698474	3709	1.1	110	1.02181818181818	2614.79090909091	110	1.32727272727273	1759.10909090909
736	YDR122W	chrIV	694697	697892	+	0.453482	0.225583	4993	-0.0952033824695939	YLR096W	chrXII	332590	336034	+	0.308475	0.195032	37123	DIFF	WGD	0.030009942	-0.02227177	0.2068965517	NA	KIN1	KIN2	NA	1.4	1745	0.0576244039857706	1745	1.4	81	1.15185185185185	2161.04938271605	101	1.25445544554455	1799.0297029703
737	YDR125C	chrIV	701394	702756	-	0.457853	0.231777	129	0.0107562904516362	YLR099C	chrXII	339744	340929	-	0.31511	0.202756	32228	DIFF	WGD	0.511798	0.3370354	0.1481481481	NA	ECM18	ICT1	0.3468981009	1.1	2055	0.0417558727229752	2055	1.1	110	1.27818181818182	2068.72727272727	100	1.29	1732.57
168	YDR126W	chrIV	703231	704242	+	0.459052	0.233477	102	-0.137616484771606	YLR246W	chrXII	627119	628199	+	0.41735	0.513019	3257	DIFF	SSD	0.5404412	0.4214636	0.2666666667	NA	SWF1	ERF2	0.1728621482	1.3	1085	0.0772639371349239	1085	1.3	110	1.19272727272727	2145.52727272727	110	1.27272727272727	2145.5
738	YDR132C	chrIV	718813	720301	-	0.469224	0.24789	15684	0.0647075374856733	YLR108C	chrXII	366667	368125	-	0.340081	0.231823	5032	DIFF	WGD	-0.156608424	-0.1106936	0.1111111111	NA	YDR132C	YLR108C	0.0886880992	1.2	8	0.0265923529869838	8	1.2	90	1.06	2484.22222222222	72	1.06944444444444	2358.61111111111
740	YDR144C	chrIV	744308	746099	-	0.485866	0.271472	2291	-0.0210442124230185	YLR120C	chrXII	386511	388221	-	0.358486	0.253248	1786	DIFF	WGD	0.352001252	0.3157184	0.2608695652	NA	MKC7	YPS1	0.3878425715	1	3797	-0.0243630640312032	3797	1	110	1.31454545454545	1833.83636363636	90	1.15111111111111	2074.9
741	YDR146C	chrIV	748610	750740	-	0.488675	0.275451	0	0.127808075926008	YLR131C	chrXII	404510	406823	-	0.37518	0.27268	5846	DIFF	WGD	-0.071428571	-0.1061324	0.1739130435	NA	SWI5	ACE2	0.0134494078	2.7	9	-0.031844721030186	9	2.7	109	1.35229357798165	1679.81651376147	110	1.18727272727273	2256.5
742	YDR147W	chrIV	751628	753233	+	0.490645	0.278243	0	0.00603781652934257	YLR133W	chrXII	408445	410194	+	0.37883	0.276929	2475	DIFF	WGD	0.429479997	0.5187514	0.2272727273	NA	EKI1	CKI1	0.2733556402	1.4	1993	0.128624723079487	1993	1.4	109	1.34587155963303	1785.19266055046	110	1.20727272727273	2141.38181818182
