chrom	start	end	Gene	TFNo	TFs	geneType	geneClusterType
chrIV	139222	139622	YDL178W	19	HSF1,RGT1,DIG1,FKH1,RIM101,TEC1,FKH1,DIG1,STE12,RDS1,DIG1,SPT23,CIN5,SPT23,ASH1,BAS1,GCN4,DIG1,SWI5	SSD	SSD_in_WGDCluster
chrIV	141622	142022	YDL177C	12	YAP7,MOT3,THI2,SOK2,SOK2,AFT2,FKH1,ROX1,YAP7,YAP1,MOT3,MOT3	SSD	SSD_in_WGDCluster
chrIV	141797	142197	YDL176W	14	SOK2,SOK2,AFT2,FKH1,ROX1,YAP7,YAP1,MOT3,MOT3,AFT2,SOK2,GLN3,DAL82,DAL80	singletons	Singletons_in_WGDCluster
chrIV	145419	145819	YDL175C	23	CIN5,SFP1,MOT3,HAP2,HAP3,HAP5,HSF1,DIG1,STE12,TEC1,STE12,DIG1,MOT3,YDR026c,REB1,RGT1,SPT2,TEC1,CIN5,ABF1,AFT2,DIG1,RLR1	WGD	WGD_in_WGDCluster
chrIV	147490	147890	YDL174C	25	FKH1,STE12,PHD1,YOX1,STB5,SWI5,SOK2,RCS1,NDD1,PHO4,TEC1,HAP3,HAP2,HAP5,SOK2,XBP1,ADR1,RGT1,TEC1,PHD1,SOK2,SUT1,AFT2,ADR1,DAL80	singletons	Singletons_in_ComplementCluster
chrIV	147891	148291	YDL173W	17	SKN7,PDR1,HAP4,RTG3,ABF1,HAP1,DIG1,STE12,THI2,REB1,CIN5,SWI5,INO2,MAC1,PHD1,PHD1,PHD1	singletons	Singletons_in_ComplementCluster
chrIV	148987	149387	YDL172C	6	SWI5,SPT23,FKH1,FKH1,FKH1,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	155541	155941	YDL171C	20	FKH1,FKH2,FKH1,AZF1,DIG1,STE12,AZF1,FKH2,FKH1,AZF1,MSN4,TEC1,GLN3,DAL82,GLN3,DAL82,DAL80,DAL82,GLN3,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	156018	156418	YDL170W	26	SOK2,PHO4,ABF1,DIG1,GLN3,DAL82,GZF3,GAT1,DAL80,HAP4,HAP2,HAP3,HAP5,GCN4,NRG1,AFT2,YAP7,GCN4,BAS1,BAS1,CIN5,SFP1,FHL1,RAP1,RIM101,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	158636	159036	YDL169C	17	SOK2,ACE2,SPT23,DAL80,GLN3,DAL82,GZF3,GAT1,DAL80,STB4,SNT2,ADR1,TEC1,SOK2,DAL82,GLN3,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	159304	159704	YDL168W	16	SPT23,DAL80,DIG1,SPT2,SFP1,RAP1,AFT2,CIN5,SPT23,HSF1,RLR1,SPT23,DIG1,SPT23,ACE2,YAP7	singletons	Singletons_in_ComplementCluster
chrIV	163055	163455	YDL167C	27	SPT2,STE12,DIG1,YHP1,DAL80,YAP7,YAP3,YAP5,YAP6,ARR1,SOK2,SPT23,DIG1,DIG1,ABF1,RGT1,TEC1,FKH1,CIN5,MOT3,YAP7,YAP7,YAP3,YAP5,YAP6,ARR1,YHP1	singletons	Singletons_in_ComplementCluster
chrIV	163943	164343	YDL166C	7	CIN5,BAS1,BAS1,YAP7,DAL80,MOT3,HSF1	singletons	Singletons_in_ComplementCluster
chrIV	163990	164390	YDL165W	7	CIN5,BAS1,BAS1,YAP7,DAL80,MOT3,HSF1	singletons	Singletons_in_ComplementCluster
chrIV	167155	167555	YDL164C	2	SKO1,ADR1	SSD	SSD_in_SSDCluster
chrIV	169509	169909	YDL160C-A	12	YHP1,YAP7,AFT2,SPT23,DAL80,STE12,SOK2,MOT3,HAP4,DAL80,CIN5,TEC1	singletons	Singletons_in_ComplementCluster
chrIV	171831	172231	YDL160C	21	GAT1,DAL80,GZF3,DAL82,GLN3,TEC1,RLR1,SOK2,STB1,TEC1,INO2,TEC1,HSF1,STE12,DIG1,SPT23,HAP3,HAP2,HAP5,DAL82,GLN3	singletons	Singletons_in_WGDCluster
chrIV	171882	172282	YDL159W-A	21	GAT1,DAL80,GZF3,DAL82,GLN3,TEC1,RLR1,SOK2,STB1,TEC1,INO2,TEC1,HSF1,STE12,DIG1,SPT23,HAP3,HAP2,HAP5,DAL82,GLN3	singletons	Singletons_in_ComplementCluster
chrIV	172181	172581	YDL159W	23	HAP4,ADR1,REB1,SNT2,HAP4,HAP3,HAP2,HAP5,INO2,DAL82,GLN3,SUM1,GAT1,DAL80,GZF3,DAL82,GLN3,RGT1,SOK2,PHD1,HAP3,HAP2,HAP5	singletons	Singletons_in_WGDCluster
chrIV	174489	174889	YDL157C	37	DIG1,INO2,STE12,DIG1,STB5,FKH1,STE12,SUM1,RPN4,MOT3,DIG1,SPT23,DIG1,AFT2,REB1,AFT2,NRG1,ADR1,SWI6,SWI4,STB1,MBP1,SPT23,SUM1,DIG1,STE12,YHP1,STB1,SWI4,SWI6,PDR1,RLR1,DAL80,SPT23,INO2,FKH1,YHP1	singletons	Singletons_in_WGDCluster
chrIV	174618	175018	YDL156W	34	STB5,FKH1,STE12,SUM1,RPN4,MOT3,DIG1,SPT23,DIG1,AFT2,REB1,AFT2,NRG1,ADR1,SWI6,SWI4,STB1,MBP1,SPT23,SUM1,DIG1,STE12,YHP1,STB1,SWI4,SWI6,PDR1,RLR1,DAL80,SPT23,INO2,FKH1,YHP1,ASH1	singletons	Singletons_in_WGDCluster
chrIV	176473	176873	YDL155W	20	REB1,SOK2,MOT3,SWI5,FKH2,FKH1,YOX1,SPT23,SIG1,RGT1,DAL82,HSF1,SOK2,ROX1,FKH1,STE12,DIG1,STE12,DIG1,DAL80	WGD	WGD_in_WGDCluster
chrIV	178034	178434	YDL154W	18	SIG1,RCS1,FKH1,DIG1,STE12,YAP7,SIG1,STB1,SWI6,MBP1,SWI4,SWI6,UME6,SPT23,SPT23,YAP7,GCN4,SWI4	singletons	Singletons_in_ComplementCluster
chrIV	182919	183319	YDL153C	7	HAP2,HAP3,HAP5,SWI5,DAL80,ROX1,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	183043	183443	YDL150W	7	HAP2,HAP3,HAP5,SWI5,DAL80,ROX1,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	184625	185025	YDL149W	21	INO2,MOT3,SKO1,GLN3,DAL82,TEC1,HAP3,HAP2,HAP5,REB1,NDD1,MCM1,AFT2,MET31,MET32,FKH1,GAT1,DAL80,GZF3,DAL82,GLN3	singletons	Singletons_in_ComplementCluster
chrIV	190487	190887	YDL148C	17	INO2,DAL80,DIG1,BAS1,ABF1,SFP1,HAP3,HAP2,HAP5,REB1,ASH1,RPN4,SPT23,MSN4,SPT23,DAL80,SWI5	singletons	Singletons_in_ComplementCluster
chrIV	190624	191024	YDL147W	18	INO2,DAL80,DIG1,BAS1,ABF1,SFP1,HAP3,HAP2,HAP5,REB1,ASH1,RPN4,SPT23,MSN4,SPT23,DAL80,SWI5,SIG1	singletons	Singletons_in_ComplementCluster
chrIV	192450	192850	YDL146W	26	SPT23,SPT23,DIG1,SPT23,SPT23,DIG1,MSN4,RCS1,AFT2,ASH1,FKH1,GCN4,BAS1,GLN3,RCS1,RLR1,DIG1,FKH2,YAP3,YAP5,YAP6,ARR1,FKH1,CIN5,UME1,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	198077	198477	YDL145C	31	UME1,SPT23,SPT23,STB1,SWI4,SWI6,FKH2,FKH1,MOT3,DAL80,DAL80,MSN4,ADR1,AFT2,REB1,SOK2,PHD1,SWI5,ACE2,HAP3,HAP5,HAP2,THI2,CIN5,MOT3,YHP1,STE12,DIG1,NRG1,TEC1,XBP1	SSD	SSD_in_SSDCluster
chrIV	199633	200033	YDL144C	23	AFT2,TEC1,MCM1,ABF1,INO2,RLR1,SPT23,STE12,RPN4,YHP1,SPT2,YHP1,HAP3,HAP2,HAP5,ADR1,AFT2,PHD1,SOK2,INO2,RCS1,REB1,HSF1	singletons	Singletons_in_SSDCluster
chrIV	199696	200096	YDL143W	23	AFT2,TEC1,MCM1,ABF1,INO2,RLR1,SPT23,STE12,RPN4,YHP1,SPT2,YHP1,HAP3,HAP2,HAP5,ADR1,AFT2,PHD1,SOK2,INO2,RCS1,REB1,HSF1	SSD	SSD_in_SSDCluster
chrIV	202471	202871	YDL142C	21	SOK2,PHD1,FKH1,STE12,DIG1,ADR1,DIG1,YOX1,ADR1,TEC1,DIG1,ADR1,NDD1,MCM1,SOK2,OPI1,STE12,DIG1,YHP1,FKH1,REB1	singletons	Singletons_in_SSDCluster
chrIV	202739	203139	YDL141W	15	OPI1,STE12,DIG1,YHP1,FKH1,REB1,UME1,TEC1,ROX1,STE12,DIG1,HAP2,HAP3,HAP5,HSF1	singletons	Singletons_in_SSDCluster
chrIV	210462	210862	YDL140C	21	ADR1,REB1,HAP4,HAP2,HAP3,HAP5,NRG1,NDD1,MCM1,MOT3,SPT23,ADR1,SPT23,YAP7,GCN4,ASH1,DAL80,SPT23,TEC1,DIG1,SPT23	SSD	SSD_in_SSDCluster
chrIV	211947	212347	YDL139C	15	DIG1,DIG1,DIG1,STE12,SOK2,CIN5,CIN5,DIG1,STE12,INO4,SWI5,RGT1,PDR1,TEC1,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	213051	213451	YDL138W	18	GCN4,PUT3,MOT3,SOK2,AFT2,MSN4,ADR1,STE12,ROX1,MOT3,SPT2,SPT23,MOT3,TEC1,INO2,INO4,SPT23,HSF1	WGD	WGD_in_WGDCluster
chrIV	216228	216628	YDL137W	29	TEC1,MSN4,GCR1,DAL80,CIN5,DAL80,MCM1,YHP1,ADR1,RLR1,GAT1,DAL80,GZF3,DAL82,GLN3,ADR1,ASH1,STB1,YAP7,YAP3,YAP5,ARR1,YAP6,SWI5,HAP4,HAP2,HAP3,HAP5,DAL80	WGD	WGD_in_WGDCluster
chrIV	217299	217699	YDL136W	25	RAP1,FHL1,SFP1,SPT23,INO2,MOT3,SOK2,INO2,RPN4,SWI5,RCS1,AFT2,RAP1,FHL1,HAP4,SFP1,SPT23,DIG1,REB1,SOK2,SPT23,SPT23,ADR1,AFT2,DAL80	WGD	WGD_in_WGDCluster
chrIV	219188	219588	YDL135C	20	AFT2,TEC1,TEC1,SWI6,MBP1,SWI4,SPT23,SPT23,MBP1,STE12,DIG1,AFT2,REB1,RGT1,ADR1,DAL82,ADR1,YOX1,RLR1,MOT3	singletons	Singletons_in_WGDCluster
chrIV	220671	221071	YDL134C	24	FKH1,FKH2,ROX1,DIG1,STE12,DAL80,FKH1,AZF1,MOT3,SPT23,CIN5,DAL80,YAP1,YAP7,YAP3,YAP5,YAP6,ARR1,TEC1,BAS1,DIG1,TEC1,DIG1,STE12	WGD	WGD_in_WGDCluster
chrIV	221701	222101	YDL133C-A	26	MAC1,TEC1,SPT23,FKH2,FKH1,SWI6,DIG1,STE12,YOX1,RGT1,DAL80,DAL82,YHP1,TEC1,AFT2,ADR1,SWI5,SOK2,SWI5,REB1,SIP4,SOK2,AFT2,MBP1,SWI6,SPT23	WGD	WGD_in_WGDCluster
chrIV	222126	222526	YDL133W	21	GAT1,DAL80,GZF3,DAL82,GLN3,AFT2,SFP1,FHL1,RAP1,AFT2,RCS1,THI2,FKH1,GCN4,ASH1,YHP1,THI2,TEC1,SWI5,SPT23,YAP1	singletons	Singletons_in_WGDCluster
chrIV	224003	224403	YDL132W	23	CIN5,MOT3,ADR1,SWI5,DIG1,GCN4,RGT1,RCS1,AFT2,ADR1,MSN4,ROX1,FKH2,SPT23,DAL80,FKH1,SPT23,SIG1,GCN4,BAS1,MOT3,FKH1,SOK2	SSD	SSD_in_WGDCluster
chrIV	227092	227492	YDL131W	18	ACE2,SWI6,SWI6,STE12,YAP7,GCN4,RIM101,ABF1,INO2,STB1,SOK2,TEC1,DIG1,STE12,SPT23,DAL80,STB1,YHP1	WGD	WGD_in_SSDCluster
chrIV	228870	229270	YDL130W-A	23	ADR1,YHP1,SPT23,ASH1,BAS1,GCN4,RGT1,ADR1,DAL80,ABF1,SKO1,SPT23,DAL80,MSN2,ADR1,AFT2,SKN7,UME6,PHD1,SWI5,FKH1,SPT23,AFT2	WGD	WGD_in_SSDCluster
chrIV	229605	230005	YDL130W	36	MET31,MET32,MAC1,FHL1,RAP1,SFP1,FHL1,RAP1,SFP1,DIG1,STE12,SPT23,STB1,SWI4,SWI6,SPT23,SOK2,AFT2,SWI6,SWI6,SPT23,DIG1,STE12,THI2,RLM1,HAP2,HAP5,HAP3,INO2,MSN4,DIG1,STE12,SPT23,SPT23,DIG1,STE12	singletons	Singletons_in_ComplementCluster
chrIV	230723	231123	YDL129W	25	SPT2,RFX1,SIG1,CIN5,SKN7,SOK2,RAP1,YAP7,GCN4,TEC1,GCN4,STE12,INO2,AFT2,MOT3,DIG1,SPT23,GLN3,DAL82,TEC1,STE12,SOK2,SUT1,SKN7,SPT23	singletons	Singletons_in_WGDCluster
chrIV	232351	232751	YDL128W	17	TEC1,CIN5,MCM1,TEC1,FKH1,YHP1,SKO1,TEC1,TYE7,YOX1,SWI5,DAL80,TEC1,TEC1,ASH1,AFT2,SWI5	SSD	SSD_in_WGDCluster
chrIV	234626	235026	YDL127W	21	MOT3,MCM1,HAP3,HAP2,HAP5,ROX1,SOK2,PHD1,AFT2,DIG1,STE12,DIG1,STE12,DIG1,AFT2,NRG1,AFT2,STB5,FKH1,RGT1,SOK2	WGD	WGD_in_SSDCluster
chrIV	238564	238964	YDL126C	17	DAL80,GCN4,BAS1,ASH1,GCN4,BAS1,ASH1,YHP1,ASH1,RPN4,ADR1,YDR026c,REB1,ADR1,MOT3,RCS1,AFT2	SSD	SSD_in_SSDCluster
chrIV	239506	239906	YDL125C	22	DIG1,STE12,AFT2,SWI5,HAP4,RGT1,ABF1,DIG1,STE12,SUT1,AFT2,NRG1,SKN7,SOK2,THI2,DIG1,STE12,SIG1,RTG3,ADR1,PHO4,SWI6	SSD	SSD_in_SSDCluster
chrIV	239958	240358	YDL124W	27	AFT2,GCR1,ADR1,SOK2,MCM1,NDD1,NDD1,AFT2,RGT1,HSF1,RGT1,ADR1,MSN4,YAP1,CAD1,YAP7,YAP3,YAP5,YAP6,ARR1,TEC1,SFP1,PHO4,INO2,REB1,DIG1,ADR1	singletons	Singletons_in_ComplementCluster
chrIV	241117	241517	YDL123W	19	RGT1,DAL80,SFP1,GCN4,BAS1,YAP1,DAL80,STB5,AFT2,ADR1,REB1,SWI5,CIN5,RGT1,HAP2,HAP3,HAP5,AFT2,MBP1	singletons	Singletons_in_ComplementCluster
chrIV	242251	242651	YDL122W	13	SKN7,HAP4,HAP2,HAP3,HAP5,DIG1,STE12,AFT2,YOX1,UME1,DAL82,ADR1,MSN4	singletons	Singletons_in_ComplementCluster
chrIV	245482	245882	YDL121C	20	STB5,ASH1,MOT3,AFT2,YAP5,YAP6,ARR1,YAP3,AFT2,RCS1,ABF1,DIG1,CAD1,YAP7,YAP5,YAP6,ARR1,YAP3,YHP1,CIN5	singletons	Singletons_in_ComplementCluster
chrIV	245622	246022	YDL120W	17	YAP5,YAP6,ARR1,YAP3,AFT2,RCS1,ABF1,DIG1,CAD1,YAP7,YAP5,YAP6,ARR1,YAP3,YHP1,CIN5,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	247512	247912	YDL119C	19	AFT2,ADR1,AFT2,SPT23,GCR1,ASH1,SPT23,SWI6,SWI4,STB1,BAS1,DIG1,STE12,SMP1,RLM1,SOK2,STE12,FKH1,INO2	singletons	Singletons_in_ComplementCluster
chrIV	248280	248680	YDL117W	16	DIG1,STE12,STB1,SPT23,FKH1,HSF1,SPT23,FKH1,DAL80,RGT1,DIG1,STE12,TEC1,STB5,SPT2,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	251265	251665	YDL116W	17	STE12,DIG1,TEC1,SPT23,DAL80,SWI5,ACE2,ABF1,DIG1,INO2,ROX1,FKH1,MOT3,SPT23,HAP3,HAP2,HAP5	singletons	Singletons_in_ComplementCluster
chrIV	254634	255034	YDL114W-A	17	SOK2,DIG1,GCN4,BAS1,STE12,HAP3,HAP5,HAP2,HSF1,BAS1,TEC1,DAL80,BAS1,YHP1,YAP7,GCN4,ASH1	singletons	Singletons_in_ComplementCluster
chrIV	255026	255426	YDL115C	35	SFP1,MOT3,SOK2,TEC1,DAL80,INO2,MSN2,AFT2,TEC1,MOT3,DAL82,MSN4,SUM1,FKH1,DAL80,REB1,DAL80,HAP4,HAP3,HAP5,HAP2,INO2,INO4,PHO4,INO2,PHD1,SOK2,DIG1,STE12,YHP1,SNT2,HAP4,THI2,SPT23,MOT3	singletons	Singletons_in_ComplementCluster
chrIV	255303	255703	YDL114W	21	INO2,INO4,PHO4,INO2,PHD1,SOK2,DIG1,STE12,YHP1,SNT2,HAP4,THI2,SPT23,MOT3,SKO1,SUM1,SWI5,SUM1,DIG1,STE12,SUM1	SSD	SSD_in_SSDCluster
chrIV	258455	258855	YDL113C	32	RCS1,RCS1,SPT23,DAL80,HAP2,HAP3,HAP5,GCR1,YAP1,YAP7,GCN4,MSN4,MSN2,ADR1,AFT2,AFT2,REB1,UME1,TEC1,TYE7,PHO4,CBF1,SPT23,HSF1,THI2,STE12,DIG1,TEC1,STE12,DIG1,YHP1,FKH1	SSD	SSD_in_SSDCluster
chrIV	258614	259014	YDL112W	34	SPT23,DAL80,HAP2,HAP3,HAP5,GCR1,YAP1,YAP7,GCN4,MSN4,MSN2,ADR1,AFT2,AFT2,REB1,UME1,TEC1,TYE7,PHO4,CBF1,SPT23,HSF1,THI2,STE12,DIG1,TEC1,STE12,DIG1,YHP1,FKH1,FKH1,MOT3,ACE2,SWI5	singletons	Singletons_in_ComplementCluster
chrIV	264010	264410	YDL111C	15	MET31,MET32,ASH1,TEC1,MOT3,ADR1,DIG1,RGT1,AFT2,STB5,DAL80,YAP7,YAP7,HAP1,REB1	singletons	Singletons_in_ComplementCluster
chrIV	264864	265264	YDL110C	19	DIG1,STE12,GLN3,DAL82,REB1,ADR1,ROX1,FKH1,FKH1,PDR1,ADR1,PHD1,AFT2,NRG1,DAL80,SPT23,ASH1,TEC1,SKO1	singletons	Singletons_in_ComplementCluster
chrIV	267101	267501	YDL109C	16	AFT2,TYE7,FKH1,SOK2,MOT3,ADR1,YAP1,STE12,DIG1,MSN4,YHP1,AFT2,DIG1,STE12,DIG1,TEC1	WGD	WGD_in_WGDCluster
chrIV	267397	267797	YDL108W	14	YHP1,AFT2,DIG1,STE12,DIG1,TEC1,HAP3,HAP2,HAP5,STE12,DIG1,SOK2,DIG1,CIN5	singletons	Singletons_in_ComplementCluster
chrIV	268620	269020	YDL107W	9	FKH1,SWI4,SPT23,SPT23,SPT23,ROX1,SPT23,FKH2,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	271801	272201	YDL106C	22	SKN7,STB1,DIG1,STE12,PHD1,INO2,YAP3,YAP5,ARR1,YAP6,RGT1,RDS1,ABF1,DIG1,STE12,RTG3,SOK2,ROX1,YAP7,GCN4,INO2,PHO4	singletons	Singletons_in_ComplementCluster
chrIV	272088	272488	YDL105W	26	DIG1,STE12,RTG3,SOK2,ROX1,YAP7,GCN4,INO2,PHO4,STB1,FKH1,TEC1,MET31,MET32,ADR1,DAL80,STB1,MBP1,SWI4,SWI6,MBP1,SWI6,DAL82,GLN3,DAL80,SPT23	singletons	Singletons_in_ComplementCluster
chrIV	274776	275176	YDL104C	22	FKH1,SPT23,UME1,YHP1,SWI6,HAP2,HAP3,HAP5,SWI4,SWI6,PDR1,CIN5,STE12,DIG1,DIG1,GCN4,DIG1,YHP1,UME1,YHP1,STE12,DIG1	SSD	SSD_in_SSDCluster
chrIV	276481	276881	YDL103C	15	SOK2,SPT23,DIG1,SOK2,SPT23,SPT23,MOT3,CIN5,MOT3,SWI6,MBP1,MOT3,DAL80,INO2,SPT23	singletons	Singletons_in_SSDCluster
chrIV	276571	276971	YDL102W	15	SOK2,SPT23,DIG1,SOK2,SPT23,SPT23,MOT3,CIN5,MOT3,SWI6,MBP1,MOT3,DAL80,INO2,SPT23	SSD	SSD_in_SSDCluster
chrIV	281748	282148	YDL101C	20	YHP1,MOT3,MSN4,HSF1,ADR1,DIG1,INO4,DIG1,SPT23,FKH2,FKH1,MBP1,SWI6,SUM1,CIN5,TYE7,RLR1,YAP7,SPT2,MSN4	singletons	Singletons_in_SSDCluster
chrIV	283076	283476	YDL100C	19	SOK2,DIG1,STE12,RPN4,MET31,MET32,DAL80,SPT23,SWI6,STB1,DIG1,SWI5,YAP7,ROX1,INO4,DAL80,TEC1,DIG1,DAL80	singletons	Singletons_in_SSDCluster
chrIV	283118	283518	YDL099W	19	SOK2,DIG1,STE12,RPN4,MET31,MET32,DAL80,SPT23,SWI6,STB1,DIG1,SWI5,YAP7,ROX1,INO4,DAL80,TEC1,DIG1,DAL80	singletons	Singletons_in_SSDCluster
chrIV	285065	285465	YDL098C	7	YAP1,FKH2,SUM1,RLR1,SOK2,SPT23,YAP7	singletons	Singletons_in_SSDCluster
chrIV	286595	286995	YDL097C	27	HAP3,HAP2,HAP5,DIG1,STE12,DIG1,YHP1,RPN4,AFT2,ADR1,SOK2,SKN7,ABF1,MOT3,SOK2,CBF1,PHO4,SWI6,SWI4,STB1,DIG1,PHD1,SOK2,INO2,AFT2,RCS1,ROX1	singletons	Singletons_in_SSDCluster
chrIV	286758	287158	YDL095W	23	STE12,DIG1,YHP1,RPN4,AFT2,ADR1,SOK2,SKN7,ABF1,MOT3,SOK2,CBF1,PHO4,SWI6,SWI4,STB1,DIG1,PHD1,SOK2,INO2,AFT2,RCS1,ROX1	SSD	SSD_in_SSDCluster
chrIV	292480	292880	YDL092W	21	SPT23,MOT3,SWI5,RDS1,DAL80,NDD1,HAP2,HAP3,HAP5,ADR1,GCR1,SKN7,RAP1,FHL1,SOK2,DAL80,INO4,DIG1,GLN3,DAL82,AFT2	singletons	Singletons_in_SSDCluster
chrIV	294659	295059	YDL091C	21	SOK2,ASH1,GLN3,GAL4,ADR1,TEC1,DIG1,STE12,SWI6,STB1,DAL80,SUT1,GLN3,DAL80,CIN5,HAP2,HAP3,HAP5,TEC1,TEC1,SPT2	singletons	Singletons_in_SSDCluster
chrIV	296229	296629	YDL090C	31	MOT3,FKH1,STE12,DIG1,SOK2,AFT2,NRG1,HAP4,DAL80,SWI6,SWI4,STB1,MBP1,AFT2,STE12,DIG1,STE12,DIG1,TEC1,MCM1,NDD1,GLN3,MOT3,SPT23,YAP7,SWI6,ADR1,PHO2,ABF1,DIG1,ADR1	SSD	SSD_in_SSDCluster
chrIV	296519	296919	YDL089W	18	ADR1,PHO2,ABF1,DIG1,ADR1,SOK2,STB5,MSN4,MSN2,ADR1,AFT2,SPT2,STE12,DIG1,SPT23,SOK2,MOT3,PHD1	singletons	Singletons_in_ComplementCluster
chrIV	299903	300303	YDL088C	13	FKH1,MCM1,GLN3,MOT3,DAL82,NDD1,MCM1,GZF3,GAT1,DAL80,REB1,SOK2,DIG1	WGD	WGD_in_WGDCluster
chrIV	300899	301299	YDL087C	11	SWI5,ADR1,MOT3,PDR1,UME6,REB1,ASH1,CIN5,MOT3,PHO4,SWI5	singletons	Singletons_in_WGDCluster
chrIV	301112	301512	YDL086W	9	ASH1,CIN5,MOT3,PHO4,SWI5,DAL80,RGT1,PHO4,DAL80	singletons	Singletons_in_WGDCluster
chrIV	301989	302389	YDL086C-A	6	BAS1,AFT2,ROX1,TEC1,MOT3,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	302570	302970	YDL085C-A	19	SPT23,DIG1,STE12,SWI5,RFX1,BAS1,YDR026c,REB1,PUT3,SPT23,STB1,RLR1,SWI6,PDR1,SPT2,YAP7,GCN4,TEC1,GCN4	singletons	Singletons_in_ComplementCluster
chrIV	302910	303310	YDL085W	20	GCN4,SUM1,SUM1,FKH1,STE12,AZF1,DIG1,SPT23,ADR1,ASH1,SWI5,ADR1,ADR1,SOK2,MOT3,SOK2,TEC1,HSF1,FKH1,TEC1	WGD	WGD_in_WGDCluster
chrIV	304936	305336	YDL084W	25	SWI6,SWI4,STB1,MBP1,REB1,ABF1,HSF1,THI2,SPT23,RLR1,AFT2,SWI6,PDR1,HAP4,FKH1,MOT3,FKH1,FKH2,MOT3,SPT23,SIG1,CIN5,YOX1,DAL82,SPT23	singletons	Singletons_in_WGDCluster
chrIV	307689	308089	YDL083C	20	DIG1,STE12,MOT3,SFP1,SPT23,ASH1,SOK2,DAL80,STB5,CBF1,PHD1,SKN7,FKH1,STE12,STE12,FKH1,HSF1,TEC1,ADR1,SPT23	WGD	WGD_in_WGDCluster
chrIV	308123	308523	YDL082W	30	DIG1,SFP1,FHL1,RAP1,AFT2,RCS1,BAS1,ADR1,DIG1,STE12,RTG3,GCN4,RAP1,FHL1,SFP1,SPT23,DIG1,STE12,RAP1,FHL1,TEC1,SFP1,SOK2,MOT3,SPT23,RGT1,SOK2,MSN4,ADR1,SOK2	singletons	Singletons_in_ComplementCluster
chrIV	310022	310422	YDL081C	20	DAL80,HAP2,HAP3,HAP5,RGT1,YOX1,HSF1,THI2,SPT23,YAP3,YAP5,YAP6,ARR1,DIG1,MOT3,TEC1,AZF1,SPT23,DIG1,YAP7	SSD	SSD_in_WGDCluster
chrIV	312371	312771	YDL080C	20	AFT2,DIG1,SPT23,DAL80,YAP1,YAP7,STE12,DIG1,SPT23,FKH1,STE12,DIG1,ADR1,THI2,RIM101,SOK2,INO2,INO2,SOK2,INO2	singletons	Singletons_in_WGDCluster
chrIV	314648	315048	YDL079C	28	TEC1,HSF1,NRG1,SUT1,SOK2,DIG1,SOK2,PHD1,TEC1,HAP3,HAP2,HAP5,TEC1,PHD1,STE12,HAP1,RGT1,DAL80,MSN4,RDS1,RGT1,GAL4,MAC1,AFT2,MSN4,MSN2,SKN7,SOK2	singletons	Singletons_in_ComplementCluster
chrIV	316288	316688	YDL078C	22	FKH1,DIG1,STE12,SPT23,SPT23,SWI5,HSF1,YAP7,SPT23,ADR1,HAP2,HAP3,HAP5,MSN4,ADR1,PHO4,SPT23,HSF1,YAP7,GCN4,RIM101,GLN3	SSD	SSD_in_WGDCluster
chrIV	320020	320420	YDL077C	24	SWI5,AFT2,NRG1,DAL80,YHP1,HAP2,HAP5,HAP3,DAL82,GLN3,DAL82,ASH1,ABF1,TEC1,PHO4,SWI6,SWI4,STB1,ADR1,NRG1,AFT2,FKH1,NRG1,AFT2	singletons	Singletons_in_WGDCluster
chrIV	321452	321852	YDL076C	28	DAL80,ROX1,SPT23,HSF1,MOT3,SPT23,PHD1,SWI5,FKH1,REB1,MSN4,NRG1,MOT3,RAP1,FHL1,ADR1,SFP1,HAP2,HAP3,HAP5,TEC1,REB1,AFT2,ADR1,RAP1,FHL1,MOT3,SPT23	singletons	Singletons_in_WGDCluster
chrIV	321925	322325	YDL075W	22	MET31,MET32,GCR1,TEC1,SOK2,RGT1,ADR1,TEC1,HSF1,SOK2,MOT3,ASH1,YAP7,GCN4,INO2,PDR1,DIG1,DAL80,YAP7,CAD1,FKH2,FKH1	singletons	Singletons_in_ComplementCluster
chrIV	323371	323771	snR63	23	HAP4,TEC1,SWI5,SOK2,HSF1,BAS1,SPT23,GLN3,DAL82,GZF3,GAT1,DAL80,AFT2,REB1,HSF1,DAL80,ADR1,TEC1,SOK2,HSF1,DIG1,STE12,SFP1	singletons	Singletons_in_ComplementCluster
chrIV	326049	326449	YDL074C	21	DAL80,GCR1,FKH1,DIG1,STE12,RAP1,SPT23,FKH1,SWI6,STB1,ABF1,TYE7,CBF1,PHO4,INO2,CIN5,DIG1,STE12,SPT23,TEC1,MOT3	singletons	Singletons_in_WGDCluster
